Time (MJD),UVW2,UVM2,UVW1,U,B,V,R,I
1.0279999999984284,18.573126545201834,17.670461827752135,16.65790347163065,15.197043798771094,14.672594656166787,13.202594534944534,14.14460871565489,9.189055556029164
10.718500000002678,16.572200919236504,15.858082787912902,14.581361039975988,12.983087681094403,12.75627429155584,11.342602606601705,12.532681188928143,7.578714213318169
11.555399999997464,16.564823311954942,15.837250382700839,14.573278510001591,12.959954983301195,12.73662424386923,11.323263125958077,12.541554198164928,7.5883420693529295
12.225500000000466,16.584501291615716,15.865761155714399,14.59330771163987,12.994001894246152,12.758794818971381,11.335079099886638,12.535933179621205,7.582668916718559
16.740700000002107,16.883696265160673,16.183681750572486,14.919942405593732,13.303456811400524,12.926248654170987,11.470423451334845,12.573846016765687,7.62012524090481
17.74489999999787,16.972464063248804,16.270179767509198,15.007600484879198,13.437584097026463,13.018960528812414,11.543645004678982,12.633619180600403,7.680565795405385
24.56300000000192,17.726651505986062,17.031114770526788,15.79654243068036,14.261367899300566,13.674584387926,12.12406180917246,13.066044373093394,8.112292221369081
25.433100000002014,17.829707200585506,17.142201133449824,15.912027715222983,14.383673203942372,13.786062277545643,12.210234097202022,13.088450538952022,8.134193411773037
26.468899999999852,17.904542132582215,17.194342229682725,15.991751380363834,14.487764963208852,13.898461381767358,12.311468625918048,13.150226858532264,8.195807844811583
28.61170000000129,18.197748277403253,17.499790672018804,16.300718127174015,14.817645746344969,14.168263525950827,12.549410565134297,13.287583334606708,8.332773542722009
35.455800000003364,18.788877649634607,18.015831210026544,16.95049901575691,15.603494104117662,14.856685914832175,13.118259717962333,13.618052981414339,8.662418685408204
47.958599999998114,19.471029356452124,18.577649132569306,17.67871149576979,16.42583388210526,15.73625248700754,13.983947826452845,14.268121406127579,9.310813221737344
56.475899999997644,19.76247193656523,18.799889395951055,17.982344127555145,16.735980479553284,16.06938575073464,14.342450881157271,14.752196627482299,9.793911466539221
77.12170000000333,20.055227336408095,19.00322752651484,18.300008470501503,17.194794816105954,16.48894112504036,14.810522791203727,15.086807503522241,10.12763179482761
90.50269999999728,20.26303245508892,19.140405888133593,18.540486149288036,17.533945250546985,16.786266519621375,15.12614965644841,15.31144603481988,10.351810828505442
111.6221000000005,20.440342297963614,19.24642354141515,18.730934092047168,17.905384809190558,17.067024159716368,15.455608487628105,15.659858913354688,10.700161877979472
