Time (MJD),B,Berr,U,Uerr,UVM2,UVM2err,UVW1,UVW1err,UVW2,UVW2err,V,Verr
53556.77875,14.725,0.055,13.588,0.047,14.878,0.084,14.284,0.06,15.025,0.079,14.67,0.069
53559.52453333332,14.755999999999998,0.055999999999999994,14.094000000000001,0.052000000000000005,16.522000000000002,0.161,15.446,0.095,16.487000000000002,0.166,14.564,0.067
53560.129316666666,14.767999999999999,0.057,14.304,0.055999999999999994,16.914,0.22,15.765999999999998,0.11199999999999999,16.745,0.19699999999999998,14.575999999999999,0.071
53561.46108333333,14.831,0.057999999999999996,14.665,0.065,17.247,0.28300000000000003,16.208,0.141,17.347,0.294,14.677999999999999,0.07400000000000001
53565.01043333334,15.177,0.066,15.392999999999999,0.09,,,16.881,0.20199999999999999,17.685,0.36700000000000005,14.72,0.07200000000000001
53568.02495,15.484000000000002,0.078,15.889000000000001,0.11199999999999999,,,17.202,0.262,18.028,0.489,14.790999999999999,0.076
53573.04988333335,15.607999999999999,0.083,16.218,0.131,17.928,0.474,17.781,0.40399999999999997,,,14.847999999999999,0.077
