Time (MJD),UVW2,UVM2,UVW1,U,B,V,R,I
1.0279999999984284,17.881439484967956,16.883806014218184,16.030061150377108,14.926528007995236,14.611442166977042,13.159686391279688,14.13629574094778,9.181382425190852
4.2462999999988815,16.5621040238828,15.534933999593973,14.646082232323547,13.614508766061244,13.540493743194027,12.133173300831782,13.331411968105733,8.377994965111373
8.843999999997322,15.861949289542883,14.795107694486001,13.896363779430843,12.89220448176619,12.836003855978031,11.432146607370191,12.617235855042168,7.663618754670208
9.818400000003749,15.751356320619983,14.676695402777462,13.848995157712821,12.872992957083738,12.801964075185015,11.39765829728205,12.615529018091722,7.662471881904843
10.718500000002678,15.679770738855742,14.604321264375125,13.78484398680801,12.821951333077152,12.749774416363845,11.34153761886978,12.52919974465564,7.575662795406327
11.555399999997464,15.679407588050992,14.603427480125802,13.781198128400689,12.799066063969683,12.730983887861221,11.322803643521038,12.538723391841737,7.58582050302454
12.225500000000466,15.745649617052084,14.734484413545664,13.858557622663351,12.849468375288703,12.75559320099297,11.337003726601129,12.527925255406679,7.575075182628576
14.801700000003619,15.959039960101341,14.941495802638425,14.142872199112979,13.161458811743955,12.87940464565298,11.43383910423284,12.521514904260489,7.567984127793102
15.735899999999676,16.103680363623678,15.280671710073097,14.366442725115931,13.071767332085052,12.862067670527203,11.416726568834955,12.523008819698852,7.569558214358191
16.740700000002107,16.18554107836075,15.36662704365832,14.471150802758046,13.15543736173234,12.916886795864691,11.466447529841634,12.562531659542074,7.60917102470659
17.74489999999787,16.306679740647738,15.484036168433056,14.56532702621066,13.281961483707938,13.004206202831973,11.535526638197345,12.62047655711207,7.667658093396007
18.748399999996764,16.93925073349617,16.144286342844882,15.032014463570361,13.513079262861607,13.106326469855878,11.618390570036054,12.68914670174977,7.7362805292472006
19.777900000000955,16.988872527608734,16.192525829721305,15.12700369397764,13.619656748499054,13.18703338537376,11.687430466537087,12.740810776259012,7.787929642835022
20.251600000003236,17.077070606756294,16.299793855202687,15.22150660272247,13.704596624286129,13.245498062868368,11.7327139646495,12.767870778809549,7.814975780473622
21.551500000001397,17.178622209589676,16.394006076982617,15.35260761627931,13.853906785225504,13.372126014504733,11.850861960404483,12.860404352125151,7.907439468692757
22.417300000000978,17.274020079332505,16.498619971347132,15.423894182429681,13.935433387089006,13.448680899083168,11.910676679790935,12.893238504163095,7.93982233080948
23.66219999999885,17.416349732244523,16.647333024358613,15.576486862432969,14.083707942795364,13.574950009426757,12.021808016350688,12.99621541612682,8.04302566349829
24.56300000000192,17.78478087096808,17.02484375321861,15.876989651274497,14.317322976133603,13.691320117480295,12.132786958615938,13.062732234988484,8.10923315436628
25.433100000002014,17.88640024322476,17.13768535018449,15.993615547445676,14.43996232405056,13.803806195158385,12.220453024387108,13.101038110746149,8.147128739344904
26.468899999999852,17.96047270783399,17.185709619549897,16.071713233247703,14.546032833181517,13.917066573208576,12.323540760487898,13.184893133081587,8.230851661917814
27.470500000003085,18.111500046582403,17.367465682651215,16.23940218679256,14.695624448898364,14.030213872942552,12.416287472726117,13.258807333111955,8.30466924716856
28.61170000000129,18.262307252484728,17.502446398502293,16.38276641555683,14.875787685274771,14.188854762273081,12.565359096821652,13.37195065277521,8.418027254079767
29.685899999996767,18.446783845614934,17.656644010697313,16.59199421490322,15.274873070952367,14.405831494751446,12.756377491218505,13.457797193140248,8.502917266037707
30.45369999999821,18.378271699877754,17.600419597412515,16.539453195507154,15.071571740060591,14.377878639199807,12.71869668837924,13.444109287800131,8.489515938307118
31.627300000000105,18.555970688753582,17.79549696459966,16.71177646710693,15.233631828766384,14.504082725834117,12.823121717114997,13.508260599926388,8.553754091376398
32.2074999999968,18.62747147903789,17.858702624566988,16.793790793251468,15.340121945465217,14.59871344628927,12.902961144348684,13.552808836610534,8.598302414947984
35.00239999999758,18.95458571998307,18.20880293230054,17.113616614328656,15.721036958189547,14.879780205882643,13.134953832206277,13.683173855589418,8.728541258393705
35.455800000003364,18.96676513732267,18.221225337403354,17.12560157353153,15.72887193338687,14.889412547347156,13.14136274841986,13.68985950451636,8.735196684370175
39.296000000002095,19.25552450967937,18.48520586562855,17.445893944818643,16.098098865743744,15.213633026683102,13.432820718958503,13.858326347623564,8.902970532755557
41.61800000000221,19.362213485506985,18.57601379420513,17.572578987318554,16.21276271910451,15.36521052308587,13.596636242739375,13.999707328609825,9.043927846208964
43.6388999999981,19.495706282868184,18.694144465975203,17.748255212308568,16.398244868250693,15.572913312401774,13.739551373837704,14.114103467787722,9.15828354423234
45.713999999999935,19.64545421007296,18.830708386546437,17.83901178874162,16.480756700315386,15.698890581976533,13.926847403603157,14.30556216263074,9.34956342278307
47.958599999998114,19.675256674641318,18.849890148355115,17.89268189107739,16.556881470086662,15.769284155798456,14.015402227999951,14.370279671508213,9.413017526885088
50.98410000000149,19.894823970405756,19.062651332695225,18.102423072917134,16.788518410973595,15.944548753440428,14.16236344922137,14.520283136885084,9.563064833280421
52.91900000000169,19.92928501446024,19.086494914420364,18.128477255693458,16.816747651300638,15.96880852727384,14.207308500318742,14.64505411637859,9.688765761181415
54.50050000000193,20.00957228220696,19.160800861972376,18.235204628775136,16.907731374865016,16.05956358502335,14.296457192636552,14.677684536485422,9.720408760571377
56.475899999997644,20.03641562515947,19.179305524311836,18.25198066167183,16.89447793766952,16.098077557178453,14.359386129561635,14.74645607158251,9.789156138791167
59.00660000000062,20.10149755105973,19.227471749121502,18.29443639798096,16.97692890378434,16.144329116367498,14.422024354993127,14.919081589864483,9.96366748573769
62.68499999999767,20.18137800203305,19.302611912817294,18.382997300057315,17.03122834332091,16.190353463950647,14.472141348257649,15.01364794242955,10.058451677864227
64.86129999999686,20.2753378178654,19.38422215997191,18.469402159403582,17.10343781959723,16.287592069994723,14.58312951138171,15.053730871726447,10.097477988750278
70.65200000000186,20.38620104969846,19.477226880593488,18.589498908916326,17.248227233085114,16.39637007328299,14.68615436641267,15.176116613695223,10.219973127906826
77.12170000000333,20.487216068531275,19.54292793809475,18.66850319286698,17.404722564385317,16.529890489395775,14.856364440264748,15.437491844345184,10.482246657568027
83.60549999999785,20.64493738172586,19.67414528334766,18.84586705824748,17.5286886392033,16.66605305411502,15.02172742182371,15.617109270973831,10.661589725879342
90.50269999999728,20.750299365250367,19.742004225836922,18.95315327036034,17.757004891067588,16.830911346376325,15.186563760276073,15.824405713719564,10.869480560011556
97.43379999999887,20.823538318755297,19.80197514338713,19.045145387614316,17.873813396224268,16.87464532455326,15.228820006276774,15.940224885548561,10.985643261927224
111.6221000000005,20.97900907295329,19.896617060862255,19.19440021065134,18.17619801936099,17.125170466438725,15.533197258835187,16.339607227893485,11.385187460989039
