exp1,exp2,exp3,exp4,exp5,exp6,Time
102.905825265271,505.5646058321,164.907737426618,164.87520013814,332.204377141291,673.540545791388,2006-02-05 07:53:00
173.485869742847,704.564325809478,230.851254909587,230.82954370012,462.115101533846,939.521065801382,2006-02-12 14:05:00
55.2913839927469,244.571245789527,79.2886282962243,79.2669170867711,160.922697094037,325.548825800419,2006-02-19 16:28:00
0.868684583367428,298.496818691492,19.4584008178036,147.045553388445,98.3995513439436,595.306738704443,2006-02-19 18:10:00
29.5025220245461,405.091451585293,131.018409433888,130.985832777822,266.7819680527,543.070851564407,2006-02-23 08:53:00
34.1173449014055,387.106591582299,126.099531205836,126.034358209889,253.013380394359,519.1185516119,2006-02-25 08:16:00
88.409777054066,578.130411595106,190.055951403913,190.045125324874,378.005443080417,769.101271569728,2006-02-27 18:56:00
17.5255717146728,332.347318679094,71.4053531013161,109.540334675155,159.923666518861,443.329918682575,2006-03-01 03:02:00
124.47077713767,505.563585758209,165.895863187651,165.830709875505,331.216192328941,701.333458691835,2006-03-02 11:05:00
151.041400116307,773.332958698273,252.274963067711,252.274963067697,508.154892358023,1032.28769868612,2006-03-09 22:06:00
190.121104716045,827.341458708048,270.984199214888,270.951602875064,542.576450080886,1103.32039868832,2006-03-12 09:54:00
