       1780.4000   9.0342632e-15   3.6346384e-15
       1781.8000   8.7348214e-15   2.3212810e-15
       1783.2000   1.0337441e-14   2.3984236e-15
       1784.6000   1.3531932e-14   2.4223239e-15
       1786.0000   1.1689954e-14   2.3652462e-15
       1787.4000   1.2519395e-14   2.3469214e-15
       1788.8000   1.3879686e-14   2.4911386e-15
       1790.2000   8.3951396e-15   2.7670416e-15
       1791.6000   9.5916697e-15   2.4471635e-15
       1793.0000   1.0935341e-14   2.3190294e-15
       1794.4000   1.0038993e-14   2.2553175e-15
       1795.8000   4.2546624e-15   2.2872164e-15
       1797.2000   1.1088016e-14   2.2757715e-15
       1798.6000   1.1648596e-14   2.3997802e-15
       1800.0000   9.0844771e-15   2.8399061e-15
       1801.4000   1.1301109e-14   2.2714808e-15
       1802.8000   1.1243647e-14   2.1397399e-15
       1804.2000   9.7837181e-15   2.0517290e-15
       1805.6000   6.8335245e-15   2.0832300e-15
       1807.0000   1.0863002e-14   2.2748104e-15
       1808.4000   1.2163419e-14   2.2569837e-15
       1809.8000   1.0800630e-14   2.0010619e-15
       1811.2000   9.2211777e-15   1.9237112e-15
       1812.6000   1.3893068e-14   2.7286605e-15
       1814.0000   9.2513428e-15   1.9484908e-15
       1815.4000   1.0266490e-14   1.8732461e-15
       1816.8000   1.1227755e-14   1.9603370e-15
       1818.2000   1.4331603e-14   1.9349478e-15
       1819.6000   1.1023597e-14   1.8736888e-15
       1821.0000   1.1893903e-14   1.9413321e-15
       1822.4000   2.6531670e-14   5.3464708e-15
       1823.8000   1.2823371e-14   1.9364274e-15
       1825.2000   1.0583430e-14   1.8355115e-15
       1826.6000   1.2730349e-14   2.0056703e-15
       1828.0000   1.2881695e-14   2.1710760e-15
       1829.4000   8.9921920e-15   1.8010182e-15
       1830.8000   1.3211110e-14   1.8486083e-15
       1832.2000   1.4734575e-14   1.8800411e-15
       1833.6000   1.0161993e-14   1.7806178e-15
       1835.0000   1.1107483e-14   1.8779780e-15
       1836.4000   1.5153090e-14   2.4308069e-15
       1837.8000   1.4351595e-14   1.9503776e-15
       1839.2000   1.3703454e-14   2.4239840e-15
       1840.6000   1.3799994e-14   1.8542828e-15
       1842.0000   1.2162076e-14   1.7256466e-15
       1843.4000   7.4841210e-15   1.7131640e-15
       1844.8000   1.3580762e-14   1.7674899e-15
       1846.2000   1.4641752e-14   1.8296095e-15
       1847.6000   1.7182575e-14   2.0438180e-15
       1849.0000   1.4585973e-14   2.0253746e-15
       1850.4000   1.2986801e-14   2.1133954e-15
       1851.8000   1.4567163e-14   2.0120100e-15
       1853.2000   1.2660154e-14   1.7062980e-15
       1854.6000   1.2197162e-14   1.7852511e-15
       1856.0000   1.4080328e-14   1.8505075e-15
       1857.4000   1.1823630e-14   1.5927008e-15
       1858.8000   1.1351127e-14   1.6135506e-15
       1860.2000   1.4777792e-14   1.7268846e-15
       1861.6000   1.6279619e-14   1.6925339e-15
       1863.0000   1.4899133e-14   1.5930282e-15
       1864.4000   1.6413739e-14   1.5938099e-15
       1865.8000   1.5949244e-14   1.6806756e-15
       1867.2000   1.2464779e-14   1.5552967e-15
       1868.6000   1.4222612e-14   1.5410110e-15
       1870.0000   1.6590784e-14   1.5955481e-15
       1871.4000   1.5645877e-14   1.5742387e-15
       1872.8000   1.3856573e-14   1.5177123e-15
       1874.2000   1.3106927e-14   1.4864587e-15
       1875.6000   1.4392205e-14   1.5107169e-15
       1877.0000   1.2208204e-14   1.4436095e-15
       1878.4000   1.3358669e-14   1.4622364e-15
       1879.8000   1.6049758e-14   1.5269145e-15
       1881.2000   1.4935352e-14   1.7159054e-15
       1882.6000   1.5889282e-14   1.5213524e-15
       1884.0000   1.6651417e-14   1.5130558e-15
       1885.4000   1.2935707e-14   1.4315484e-15
       1886.8000   1.3179391e-14   1.4378742e-15
       1888.2000   1.4956908e-14   1.4317146e-15
       1889.6000   1.2587029e-14   1.3934469e-15
       1891.0000   1.3047321e-14   1.4046598e-15
       1892.4000   1.7436846e-14   1.6329970e-15
       1893.8000   1.5973996e-14   4.0237685e-15
       1895.2000   1.3414363e-14   1.3433086e-15
       1896.6000   1.1952228e-14   1.4144945e-15
       1898.0000   1.4703241e-14   1.5988722e-15
       1899.4000   1.4539235e-14   1.3734548e-15
       1900.8000   1.4829759e-14   1.4051304e-15
       1902.2000   1.5010913e-14   1.3474331e-15
       1903.6000   1.4954819e-14   1.3375861e-15
       1905.0000   1.2552070e-14   1.2933937e-15
       1906.4000   1.3730951e-14   1.3039992e-15
       1907.8000   1.6017622e-14   1.3591971e-15
