MJD,Wavelength,Flux
1.00945,1850,7.16778e-14
1.00945,1860,7.39251e-14
1.00945,1870,7.10322e-14
1.00945,1880,7.50876e-14
1.00945,1890,7.65121e-14
1.00945,1900,7.44729e-14
1.00945,1910,7.3224e-14
1.00945,1920,7.56983e-14
1.00945,1930,7.61694e-14
1.00945,1940,7.62221e-14
1.00945,1950,7.60648e-14
1.00945,1960,7.5067e-14
1.00945,1970,7.2612e-14
1.00945,1980,6.86561e-14
1.00945,1990,6.56632e-14
1.00945,2000,6.68367e-14
1.00945,2010,6.59904e-14
1.00945,2020,6.77968e-14
1.00945,2030,6.88525e-14
1.00945,2040,6.91394e-14
1.00945,2050,6.92959e-14
1.00945,2060,6.85985e-14
1.00945,2070,6.77667e-14
1.00945,2080,6.68764e-14
1.00945,2090,6.58676e-14
1.00945,2100,6.47024e-14
1.00945,2110,6.33556e-14
1.00945,2120,6.20354e-14
1.00945,2130,6.10879e-14
1.00945,2140,6.01598e-14
1.00945,2150,5.92483e-14
1.00945,2160,5.85083e-14
1.00945,2170,5.77443e-14
1.00945,2180,5.49977e-14
1.00945,2190,4.62997e-14
1.00945,2200,4.5095e-14
1.00945,2210,4.98149e-14
1.00945,2220,5.19707e-14
1.00945,2230,5.28949e-14
1.00945,2240,5.297e-14
1.00945,2250,5.30449e-14
1.00945,2260,5.31549e-14
1.00945,2270,5.32855e-14
1.00945,2280,5.32744e-14
1.00945,2290,5.31104e-14
1.00945,2300,5.25731e-14
1.00945,2310,5.14659e-14
1.00945,2320,5.00785e-14
1.00945,2330,4.85925e-14
1.00945,2340,4.72841e-14
1.00945,2350,4.63929e-14
1.00945,2360,4.59501e-14
1.00945,2370,4.57719e-14
1.00945,2380,4.57002e-14
1.00945,2390,4.55205e-14
1.00945,2400,4.52507e-14
1.00945,2410,4.51082e-14
1.00945,2420,4.48422e-14
1.00945,2430,4.42676e-14
1.00945,2440,4.35008e-14
1.00945,2450,4.27037e-14
1.00945,2460,4.19805e-14
1.00945,2470,4.12639e-14
1.00945,2480,4.05869e-14
1.00945,2490,3.99689e-14
1.00945,2500,3.93821e-14
1.00945,2510,3.88686e-14
1.00945,2520,3.8469e-14
1.00945,2530,3.8125e-14
1.00945,2540,3.78227e-14
1.00945,2550,3.75876e-14
1.00945,2560,3.7545e-14
1.00945,2570,3.74949e-14
1.00945,2580,3.73228e-14
1.00945,2590,3.71415e-14
1.00945,2600,3.70647e-14
1.00945,2610,3.72163e-14
1.00945,2620,3.73662e-14
1.00945,2630,3.73729e-14
1.00945,2640,3.7033e-14
1.00945,2650,3.64606e-14
1.00945,2660,3.58178e-14
1.00945,2670,3.51108e-14
1.00945,2680,3.43791e-14
1.00945,2690,3.36502e-14
1.00945,2700,3.29465e-14
1.00945,2710,3.22823e-14
1.00945,2720,3.17165e-14
1.00945,2730,3.11831e-14
1.00945,2740,3.06832e-14
1.00945,2750,3.0224e-14
1.00945,2760,2.98018e-14
1.00945,2770,2.94206e-14
1.00945,2780,2.90855e-14
1.00945,2790,2.87921e-14
1.00945,2800,2.85018e-14
1.00945,2810,2.81868e-14
1.00945,2820,2.78776e-14
1.00945,2830,2.76416e-14
1.00945,2840,2.73773e-14
1.00945,2850,2.71905e-14
1.00945,2860,2.70824e-14
1.00945,2870,2.69818e-14
1.00945,2880,2.68439e-14
1.00945,2890,2.66863e-14
1.00945,2900,2.65719e-14
1.00945,2910,2.64909e-14
1.00945,2920,2.6419e-14
1.00945,2930,2.63137e-14
1.00945,2940,2.61322e-14
1.00945,2950,2.58807e-14
1.00945,2960,2.55716e-14
1.00945,2970,2.52449e-14
1.00945,2980,2.49248e-14
1.00945,2990,2.46474e-14
1.00945,3000,2.44326e-14
1.00945,3010,2.4353e-14
1.00945,3020,2.43038e-14
1.00945,3030,2.45864e-14
1.00945,3040,2.47407e-14
1.00945,3050,2.47133e-14
1.00945,3060,2.47747e-14
1.00945,3070,2.4788e-14
1.00945,3080,2.47661e-14
1.00945,3090,2.45839e-14
1.00945,3100,2.42919e-14
1.00945,3110,2.3921e-14
1.00945,3120,2.3426e-14
1.00945,3130,2.2953e-14
1.00945,3140,2.25294e-14
1.00945,3150,2.21033e-14
1.00945,3160,2.17096e-14
1.00945,3170,2.13718e-14
1.00945,3180,2.10572e-14
1.00945,3190,2.0782e-14
1.00945,3200,2.0539e-14
1.00945,3210,2.0308e-14
1.00945,3220,2.00448e-14
1.00945,3230,1.97849e-14
1.00945,3240,1.95277e-14
1.00945,3250,1.92826e-14
1.00945,3260,1.90497e-14
1.00945,3270,1.8832e-14
1.00945,3280,1.86292e-14
1.00945,3290,1.84405e-14
1.00945,3300,1.82608e-14
1.00945,3310,1.80891e-14
1.00945,3320,1.79134e-14
1.00945,3330,1.77376e-14
1.00945,3340,1.75658e-14
1.00945,3350,1.7402e-14
1.00945,3360,1.72379e-14
1.00945,3370,1.70735e-14
1.00945,3380,1.69189e-14
1.00945,3390,1.67738e-14
1.00945,3400,1.663e-14
1.00945,3410,1.64881e-14
1.00945,3420,1.63582e-14
1.00945,3430,1.6243e-14
1.00945,3440,1.61073e-14
1.00945,3450,1.59991e-14
1.00945,3460,1.58968e-14
1.00945,3470,1.57651e-14
1.00945,3480,1.56279e-14
1.00945,3490,1.55361e-14
1.00945,3500,1.53958e-14
1.00945,3510,1.52609e-14
1.00945,3520,1.5148e-14
1.00945,3530,1.50212e-14
1.00945,3540,1.48877e-14
1.00945,3550,1.47195e-14
1.00945,3560,1.46624e-14
1.00945,3570,1.45578e-14
1.00945,3580,1.44157e-14
1.00945,3590,1.44259e-14
1.00945,3600,1.44354e-14
1.00945,3610,1.44584e-14
1.00945,3620,1.44815e-14
1.00945,3630,1.43945e-14
1.00945,3640,1.42299e-14
1.00945,3650,1.41938e-14
1.00945,3660,1.39267e-14
1.00945,3670,1.38539e-14
1.00945,3680,1.37077e-14
1.00945,3690,1.35163e-14
1.00945,3700,1.34007e-14
1.00945,3710,1.31905e-14
1.00945,3720,1.30875e-14
1.00945,3730,1.30121e-14
1.00945,3740,1.29033e-14
1.00945,3750,1.28407e-14
1.00945,3760,1.27056e-14
1.00945,3770,1.25372e-14
1.00945,3780,1.24114e-14
1.00945,3790,1.22545e-14
1.00945,3800,1.21721e-14
1.00945,3810,1.21535e-14
1.00945,3820,1.20179e-14
1.00945,3830,1.19725e-14
1.00945,3840,1.18354e-14
1.00945,3850,1.17227e-14
1.00945,3860,1.1505e-14
1.00945,3870,1.14789e-14
1.00945,3880,1.13759e-14
1.00945,3890,1.12181e-14
1.00945,3900,1.09839e-14
1.00945,3910,1.09232e-14
1.00945,3920,1.06824e-14
1.00945,3930,1.04806e-14
1.00945,3940,1.09194e-14
1.00945,3950,1.08859e-14
1.00945,3960,1.06498e-14
1.00945,3970,1.09283e-14
1.00945,3980,1.07595e-14
1.00945,3990,1.05904e-14
1.00945,4000,1.05799e-14
1.00945,4010,1.04726e-14
