event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007af,54161.8128,15.085,0.037000000000000005,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8191,18.788,0.18899999999999997,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8255,15.042,0.052000000000000005,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8303,19.673,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8408,17.243,0.08800000000000001,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8445,15.38,0.057,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.865470000004,14.83,0.01,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54161.86848,14.948,0.023,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54161.8814,15.106,0.037000000000000005,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8872,18.815,0.195,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8931,14.995,0.052000000000000005,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54161.8976,19.636,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54162.24337999999,14.489,0.034,F,H,,,2010AJ....139..519C
SN2007af,54162.24337999999,14.585,0.012,F,J,,,2010AJ....139..519C
SN2007af,54162.24337999999,14.648,0.018000000000000002,F,Y,,,2010AJ....139..519C
SN2007af,54162.47,14.935,0.01,F,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54162.47,14.59,0.01,F,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54162.47,14.609,0.01,F,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54162.47,14.787,0.01,F,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54162.96102,14.488,0.009000000000000001,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54162.98052999999,14.466,0.01,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54163.93175,14.234000000000002,0.01,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54164.30435,14.055,0.03,F,H,,,2010AJ....139..519C
SN2007af,54164.30435,14.093,0.022000000000000002,F,J,,,2010AJ....139..519C
SN2007af,54164.30435,14.159,0.008,F,Y,,,2010AJ....139..519C
SN2007af,54164.956770000004,14.009,0.009000000000000001,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54164.95978,14.039000000000001,0.027000000000000003,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54165.0269,14.148,0.031,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.0297,17.499000000000002,0.121,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.0325,14.14,0.040999999999999995,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.0346,18.965999999999998,0.314,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.0591,15.638,0.07,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.0608,13.885,0.043,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.0971,14.103,0.031,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.0999,17.358,0.115,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.1027,14.100999999999999,0.04,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.1048,19.253,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54165.26942999999,14.071,0.006,F,B,,,2010AJ....139..519C
SN2007af,54165.26942999999,14.034,0.006,F,V,,,2010AJ....139..519C
SN2007af,54165.26942999999,13.991,0.011000000000000001,F,g,,,2010AJ....139..519C
SN2007af,54165.26942999999,14.232999999999999,0.006,F,i,,,2010AJ....139..519C
SN2007af,54165.26942999999,13.969000000000001,0.009000000000000001,F,r,,,2010AJ....139..519C
SN2007af,54165.26942999999,14.67,0.008,F,u,,,2010AJ....139..519C
SN2007af,54166.28117,13.889000000000001,0.006,F,B,,,2010AJ....139..519C
SN2007af,54166.28117,13.856,0.005,F,V,,,2010AJ....139..519C
SN2007af,54166.28117,13.825999999999999,0.006999999999999999,F,g,,,2010AJ....139..519C
SN2007af,54166.28117,14.049000000000001,0.006,F,i,,,2010AJ....139..519C
SN2007af,54166.28117,13.8,0.005,F,r,,,2010AJ....139..519C
SN2007af,54166.28117,14.432,0.009000000000000001,F,u,,,2010AJ....139..519C
SN2007af,54167.31005,13.71,0.016,F,H,,,2010AJ....139..519C
SN2007af,54167.31005,13.624,0.011000000000000001,F,J,,,2010AJ....139..519C
SN2007af,54167.31005,13.683,0.022000000000000002,F,Y,,,2010AJ....139..519C
SN2007af,54167.95451,13.548,0.013999999999999999,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54167.95751,13.574000000000002,0.026000000000000002,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54168.32832000001,13.683,0.025,F,H,,,2010AJ....139..519C
SN2007af,54168.32832000001,13.532,0.013000000000000001,F,J,,,2010AJ....139..519C
SN2007af,54168.32832000001,13.636,0.011000000000000001,F,Y,,,2010AJ....139..519C
SN2007af,54168.96242999999,13.450999999999999,0.017,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54168.96545,13.479000000000001,0.016,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54169.2953,13.478,0.006,F,B,,,2010AJ....139..519C
SN2007af,54169.2953,13.628,0.006,F,H,,,2010AJ....139..519C
SN2007af,54169.2953,13.479000000000001,0.003,F,J,,,2010AJ....139..519C
SN2007af,54169.2953,13.52,0.022000000000000002,F,K,,,2010AJ....139..519C
SN2007af,54169.2953,13.445,0.006,F,V,,,2010AJ....139..519C
SN2007af,54169.2953,13.581,0.005,F,Y,,,2010AJ....139..519C
SN2007af,54169.2953,13.404000000000002,0.006,F,g,,,2010AJ....139..519C
SN2007af,54169.2953,13.735999999999999,0.008,F,i,,,2010AJ....139..519C
SN2007af,54169.2953,13.422,0.006,F,r,,,2010AJ....139..519C
SN2007af,54169.2953,14.030999999999999,0.008,F,u,,,2010AJ....139..519C
SN2007af,54169.47,13.469,0.01,F,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54169.47,13.376,0.011,F,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54169.47,13.295,0.01,F,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54169.47,13.454,0.01,F,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2007af,54169.6568,14.716,0.063,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54169.6581,13.127,0.040999999999999995,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54169.659,13.449000000000002,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54169.6613,17.112000000000002,0.111,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54169.6635,13.443,0.034,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54169.665,17.393,0.15,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54169.870429999995,13.39,0.009000000000000001,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54169.873439999996,13.407,0.013999999999999999,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54169.877120000005,13.415999999999999,0.013000000000000001,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54169.88076,13.41,0.013000000000000001,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54170.29985,13.407,0.006999999999999999,F,B,,,2010AJ....139..519C
SN2007af,54170.29985,13.625,0.004,F,H,,,2010AJ....139..519C
SN2007af,54170.29985,13.459000000000001,0.009000000000000001,F,J,,,2010AJ....139..519C
SN2007af,54170.29985,13.498,0.01,F,K,,,2010AJ....139..519C
SN2007af,54170.29985,13.367,0.008,F,V,,,2010AJ....139..519C
SN2007af,54170.29985,13.568,0.003,F,Y,,,2010AJ....139..519C
SN2007af,54170.29985,13.333,0.006,F,g,,,2010AJ....139..519C
SN2007af,54170.29985,13.694,0.008,F,i,,,2010AJ....139..519C
SN2007af,54170.29985,13.362,0.006999999999999999,F,r,,,2010AJ....139..519C
SN2007af,54170.29985,13.96,0.008,F,u,,,2010AJ....139..519C
SN2007af,54170.599,13.421,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6002,16.6,0.109,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6014,13.412,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6022,17.327,0.183,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6312,14.694,0.062,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.632,13.127,0.040999999999999995,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6659,13.372,0.03,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6672,16.425,0.102,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6686,13.389000000000001,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.6695,17.005,0.149,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007af,54170.84096,13.327,0.01,F,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54170.84399,13.350999999999999,0.013000000000000001,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54170.84766,13.347000000000001,0.011000000000000001,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2007af,54170.851310000005,13.345,0.012,F,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
