event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2010jl,55241.151,20.886,,T,R,,,2014ApJ...789..104O
SN2010jl,55241.501,20.0349,,T,R,,,2014ApJ...789..104O
SN2010jl,55244.389,21.248,,T,R,,,2014ApJ...789..104O
SN2010jl,55244.432,20.6922,,T,R,,,2014ApJ...789..104O
SN2010jl,55250.313,20.382,,T,R,,,2014ApJ...789..104O
SN2010jl,55250.357,19.809,,T,R,,,2014ApJ...789..104O
SN2010jl,55270.151,20.9794,,T,R,,,2014ApJ...789..104O
SN2010jl,55270.195,21.115,,T,R,,,2014ApJ...789..104O
SN2010jl,55279.135,20.1393,,T,R,,,2014ApJ...789..104O
SN2010jl,55279.179,20.88,,T,R,,,2014ApJ...789..104O
SN2010jl,55284.167,20.32,,T,R,,,2014ApJ...789..104O
SN2010jl,55284.21,20.0582,,T,R,,,2014ApJ...789..104O
SN2010jl,55293.254,20.5279,,T,R,,,2014ApJ...789..104O
SN2010jl,55293.298,20.554,,T,R,,,2014ApJ...789..104O
SN2010jl,55295.15,21.32,,T,R,,,2014ApJ...789..104O
SN2010jl,55295.238,21.24,,T,R,,,2014ApJ...789..104O
SN2010jl,55478.64,13.79,0.1,F,V,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55483.63,13.28,0.1,F,I,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55483.63,13.73,0.1,F,V,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55487.62,13.09,0.1,F,I,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55487.62,13.67,0.1,F,V,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55492.64,13.73,0.1,F,V,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55493.62,13,0.1,F,I,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55503.6,13.1,0.1,F,I,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55503.6,13.78,0.1,F,V,,,"2011ApJ...730...34S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2010jl,55505.0877,13.860,0.055,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2010jl,55505.0909,13.503,0.047,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2010jl,55505.0960,14.359,0.068,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2010jl,55505.1096,14.144,0.067,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2010jl,55505.2667,14.412,0.071,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2010jl,55505.3789,13.879,0.053,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2010jl,55505.7402,13.826,0.048,F,V,UVOT,Swift,2014Ap&SS.354...89B
