SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,orphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,Reference,ReferenceLinks,ethod,other_SNe,ra,dec,gallat,gallong,Avschaflly,morphology,reference,Distance_best,Distance_err_best,ethod_best,Refer_best,Hubble_dm,Hubble_dm_err,Best_dm,Best_dm_err,Best_dm_method,UV2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,PNLF_dm,PNLF_dm_err,PNLF_dm_ref,TF_dm,TF_dm_err,TF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_ref,Other_dm,Other_dm_err,Other_dm_ref,test
AT2022ffg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022qh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022eyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022eqb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022ewj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022ewh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022eux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022esa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022csn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022arb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022epu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022cva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022eji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022czy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022dsb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022cvz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022bdw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022dmf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022cmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022bdw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022adm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022crv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2022cmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022jo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2022an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021yky,,,II,,,,,07:50.2,+27:18:53.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021mim,,,Ia-91bg,,,,,40:21.4, +07:16:53.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021aadc,,,SLSN-II,,,,,04:32.7,+19:45:41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AT2021sdu,,,TDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021afkk,,,II,,,,,30:00.0,+28:38:03.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AT2021afpi,,,CV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021afuq,,,Ic,,,,,27:52.1,-43:54:07.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021acya,,,Iin,,,,,02:13.8,-28:23:29.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2021agbn,,,II,,,,,57:12.9,-25:24:12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AT2021afkg,,,AGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021afur,,,Ia-91bg,,,,,22:13.0,+17:51:40.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021sjt,NGC6951,,,,,,,'20:37:19.202,+66:06:23.10,0.996,0.0996,S_F_2011,20h37m14.118144s,66d06m20.078028s,100.8958,14.853031,0.00475,SAB(rs)bc;LINERSy2,1424,1,1771,19,,,,,,,,,,,,,,,,,,,31.48088746,0. 1504,2,1413,15,,,,,,,,,,,,,,,,,,,,,,,,
SN2021yyg,CG -02-14-10,,,,,,,'05:16:21.033,-13:28:39.97,0.394,0.0394,S_F_2011,5h16m20.923s,-13d28m16.44s,214.771122,-27.071987,0.011625,S?HII?,3485,6,3460,13,,,,,,,,,,,,,,,,,,,33.42435143,0.450526648,HF,,33.42435143,0.450526648,,,,,,,,,,,,,,,,,,,,,,,
SN2021zet,LEDA134344,,,,,,,'21:52:13.342,-23:22:37.16,0.098,0.0098,S_F_2011,21h52m12.78s,-23d22m35.600016s,27.970444,-49.511229,0.032349,S,9698,45,9784,47,,,,,,,,,,,,,,,,,,,35.64674842,0.362951854,HF,,35.64674842,0.362951854,,,,,,,,,,,,,,,,,,,,,,,
SN2021ysx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021yja,NGC1325,,,,,,,'03:24:21.174,-21:33:56.19,0.06,0.006,S_F_2011,3h24m25.5763s,-21d32m38.607s,212.308175,-54.841612,0.005307,SA(s)bc,1591,1,1525,8,,,,,,,,,,,,,,,,,,,31.72168842,0.718073839,HF,,31.72168842,0.718073839,,,,,,,,,,,,,,,,,,,,,,,
SN2021gmj,NGC 3310,,,,,,,'10:38:47.275,+53:30:30.36,0.06,0.006,S_F_2011,10h38m45.857s,53d30m11.89s,156.604088,54.062503,0.003312,SAB(r)bc pecHII,993,3,1401,19,,,,,,,,,,,,,,,,,,,30.69808376,1.065335552,HF,,30.69808376,1.065335552,,,,,,,,,,,,,,,,,,,,,,,
SN2021xju,ESO 186-G37,,,,,,,'20:22:31.064,-53:16:43.89,0.139,0.0139,S_F_2011,20h22m32.014s,-53d16m20.52s,345.147736,-34.853793,0.015577,Irr?,4670,45,4968,53,,,,,,,,,,,,,,,,,,,34.05992192,0.410776596,HF,,34.05992192,0.410776596,,,,,,,,,,,,,,,,,,,,,,,
SN2021ybc,KUG 0226-049,,,,,,,'02:29:19.030,-04:40:54.36,0.078,0.0078,S_F_2011,2h29m18.559s,-4d41m01.66s,173.375107,-57.628137,0.02925,Spiral,8769,45,8537,47,,,,,,,,,,,,,,,,,,,35.42808787,0.366369103,HF,,35.42808787,0.366369103,,,,,,,,,,,,,,,,,,,,,,,
SN2021uds,WISEA J001043.30-630608.6,,,,,,,'00:10:43.936,-63:06:03.56,0.044,0.0044,S_F_2011,0h10m43.3059s,-63d06m08.699s,310.640232,-53.412209,0.0129,S0,3867,64,3980,68,,,,,,,,,,,,,,,,,,,33.65020838,0.440776827,HF,,33.65020838,0.440776827,,,,,,,,,,,,,,,,,,,,,,,
SN2021xbg,FGC 0286,,,,,,,'02:23:56.453,-06:42:03.75,0.081,0.0081,S_F_2011,2h23m56.168s,-6d42m16.5s,174.224153,-60.010753,0.031889,Scd,9560,45,9321,47,,,,,,,,,,,,,,,,,,,35.61562698,0.363399064,HF,,35.61562698,0.363399064,,,,,,,,,,,,,,,,,,,,,,,
SN2021wvd,,,,,,,,'15:10:34.963,+13:27:30.43,0.11,0.011,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021qvw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021twv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021ukt,UGC 505,,,,,,,'00:49:24.860,-01:45:58.82,0.131,0.0131,S_F_2011,0h49m26.15s,-1d46m15.9s,121.76123,-64.638607,0.012886,SB(rs)bc:,3863,4,3771,15,,,,,,,,,,,,,,,,,,,33.64796106,0.433130198,HF,,33.64796106,0.433130198,,,,,,,,,,,,,,,,,,,,,,,
SN2021uyc,,,,,,,,'21:56:45.345,+27:54:18.11,0.175,0.0175,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021uhk,,,,,,,,'23:26:13.598,+01:08:43.92,0.091,0.0091,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021vaz,NGC 1961,,,,,,,'05:42:01.716,+69:22:36.73,0.333,0.0333,S_F_2011,5h42m04.775s,69d22m42.17s,143.8223892,19.4721124,0.013122,SAB(rs)c  LIRG;LINER,3934,1,4085,14,,,,,,,,,,,,,,,,,,,33.6875093,0.430324971,HF,,33.6875093,0.430324971,,,,,,,,,,,,,,,,,,,,,,,
SN2021twv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021uds,WISEA J001043.30-630608.6,,,,,,,'00:10:43.936,-63:06:03.56,0.044,0.0044,S_F_2011,0h10m43.3059s,-63d06m08.699s,310.640232,-53.412209,0.0129,S0,3867,64,3980,68,,,,,,,,,,,,,,,,,,,33.65020838,0.440776827,HF,,33.65020838,0.440776827,,,,,,,,,,,,,,,,,,,,,,,
SN2021loi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021uoy,CGCG453-026,,,,,,,'22:55:37.453,+19:10:25.79,0.164,0.0164,S_F_2011,22h55m36.9588s,19d10m28.0308s,88.58516,-35.857243,0.03347,,10034,3,9961,23,,,,,,,,,,,,,,,,,,,35.720708,0.361244864,HF,,35.720708,0.361244864,,,,,,,,,,,,,,,,,,,,,,,
SN2021ucg,UGC 12188,,,,,,,'22:47:37.657,+39:52:59.41,0.302,0.0302,S_F_2011,22h47m37.39s,39d52m44.82s,98.54962,-17.05699,0.017179,0.7,5150,36,5198,42,,,,,,,,,,,,,,,,,,,34.27237366,0.399360379,HF,,34.27237366,0.399360379,,,,,,,,,,,,,,,,,,,,,,,
SN2021rhu,NGC 7814,,,,,,,'00:03:15.429,+16:08:44.51,0.119,0.0119,S_F_2011,0h03m14.947s,16d08m42.82s,106.408745,-45.174641,0.003506,SA(s)ab: sp    LINER,1051,1,1145,16,,,,,,,,,,,,,,,,,,,30.8213511,1.012862366,HF,,30.8213511,1.012862366,,,,,,,,,,,,,,,,,,,,,,,
SN2021smj,NGC 4411b,,,,,,,'12:26:46.555,+08:52:57.61,0.079,0.0079,S_F_2011,12h26m47.2274s,8d53m04.4613s,284.069742,70.848128,0.004243,SAB(s)cd;Sy    LINER,1272,1,1007,16,,,,,,,,,,,,,,,,,,,31.23577307,0.859436912,HF,,31.23577307,0.859436912,,,,,,,,,,,,,,,,,,,,,,,
SN2021skf,NGC 4777,,,,,,,'12:53:57.350,-08:46:14.77,0.144,0.0144,S_F_2011,12h53m58.542s,-8d46m32.5147s,304.000995,54.090763,0.011755,(R)SAB(s)a:,3524,11,3933,34,,,,,,,,,,,,,,,,,,,33.44851702,0.448699664,HF,,33.44851702,0.448699664,,,,,,,,,,,,,,,,,,,,,,,
SN2021qyy,UGC 6711,,,,,,,'11:44:29.664,+69:43:45.44,0.031,0.0031,S_F_2011,11h44m29.6685s,69d43m47.4573s,131.234948,46.304381,0.009013,S?,2702,9,3095,18,,,,,,,,,,,,,,,,,,,32.87176424,0.507751764,HF,,32.87176424,0.507751764,,,,,,,,,,,,,,,,,,,,,,,
SN2021qvv,NGC 4442,,,,,,,'12:28:02.917,+09:48:10.26,0.059,0.0059,S_F_2011,12h28m03.893s,9d48m13.03s,284.176758,71.819162,0.001825,SB(s)00,547,5,279,14,,,,,,,,,,,,,,,,,,,29.40327415,1.861396672,HF,,29.40327415,1.861396672,,,,,,,,,,,,,,,,,,,,,,,
SN2021qvr,NGC 7678,,,,,,,'23:28:26.651,+22:25:11.89,0.132,0.0132,S_F_2011,23h28m27.8603s,22d25m16.573s,98.881898,-36.54547,0.011638,SAB(rs)c;Sbrst Sy2,3489,1,3505,20,,,,,,,,,,,,,,,,,,,33.42684237,0.45023719,HF,,33.42684237,0.45023719,,,,,,,,,,,,,,,,,,,,,,,
SN2021ek,,,,,,,,'03:23:49.900,-10:02:41.24,0.165,0.0165,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021pit,NGC 1448,,,,,,,'03:44:30.206,-44:37:57.25,0.025,0,"Brown_walker_2020,S_F_2011",3h44m31.915s,-44d38m41.38s,251.522402,-51.393884,0.003896,SAcd: sp,1168,2,1073,12,,,,,,,,,,,,,,,,,,,31.05055173,0.923933994,HF,,31.05055173,0.923933994,,,,,,,,,,,,,,,,,,,,,,,
SN2021jwr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021oat,NGC 4895A,,,,,,,'13:00:08.260,+28:10:13.11,0.029,0.0029,S_F_2011,13h00m09.1218s,28d10m13.4362s,61.804456,87.806946,0.022522,SAB0,6752,2,7330,28,,,,,,,,,,,,,,,,,,,34.86049969,0.37749217,HF,,34.86049969,0.37749217,,,,,,,,,,,,,,,,,,,,,,,
SN2021pfs,NGC 5427,,,,,,,'14:03:23.584,-06:01:53.90,0.076,0.0076,S_F_2011,14h03m26.0408s,-6d01m50.688s,333.283793,52.546021,0.008733,SA(s)c pec;Sy2 HII,2618,3,2952,24,,,,,,,,,,,,,,,,,,,32.80318573,0.516234367,HF,,32.80318573,0.516234367,,,,,,,,,,,,,,,,,,,,,,,
SN2021ont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021lwz,,,,,,,,'09:44:47.386,+34:42:44.21,0.034,0.0034,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021mxx,UGC 11380,,,,,,,'18:56:51.275,+36:37:20.38,0.256,0.0256,S_F_2011,18h56m51.042s,36d37m26.11s,66.852594,14.782815,0.00965,Sab,2893,18,3311,25,,,,,,,,,,,,,,,,,,,33.02007969,0.490931009,HF,,33.02007969,0.490931009,,,,,,,,,,,,,,,,,,,,,,,
SN2021mwj,NGC 2935,,,,,,,'09:36:41.790,-21:08:47.10,0.171,0.0171,S_F_2011,9h36m44.8513s,-21d07m41.5685s,253.593184,22.572025,0.007575,(R'_2)SAB(s)b  Sbrst,2271,3,2389,26,,,,,,,,,,,,,,,,,,,32.49442319,0.560804338,HF,,32.49442319,0.560804338,,,,,,,,,,,,,,,,,,,,,,,
SN2021mnj,NGC 5754,,,,,,,'14:45:20.589,+38:44:18.57,0.03,0.003,S_F_2011,14h45m19.6463s,38d43m52.3474s,66.21702,63.584484,0.014687,SB(rs)b,4403,4,4978,23,,,,,,,,,,,,,,,,,,,33.93208095,0.414929432,HF,,33.93208095,0.414929432,,,,,,,,,,,,,,,,,,,,,,,
SN2021kqp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021mqh,CG -01-30-21,,,,,,,'11:39:50.471,-07:36:26.60,0.12,0.012,S_F_2011,11h39m50.9449s,-7d36m28.2959s,273.861223,51.178047,0.021445,,6429,0,7028,46,,,,,,,,,,,,,,,,,,,34.75405465,0.380470204,HF,,34.75405465,0.380470204,,,,,,,,,,,,,,,,,,,,,,,
SN2021jbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021lxb,NGC 4927,,,,,,,'13:01:58.649,+28:00:30.85,0.025,0.0025,S_F_2011,13h01m57.5884s,28d00m20.9972s,54.1608767,87.5085417,0.025748,SA0-:,7719,3,8291,27,,,,,,,,,,,,,,,,,,,35.15114272,0.370608108,HF,,35.15114272,0.370608108,,,,,,,,,,,,,,,,,,,,,,,
SN2021kyv,,,,,,,,'14:27:55.288,+33:00:07.48,0.021,0.0021,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021ifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021kgj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021kgk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021jpk,,,,,,,,'14:39:00.025,+12:40:10.02,0.055,0.0055,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021jtt,NGC 2955,,,,,,,'09:41:16.452,+35:53:02.53,0.029,0.0029,S_F_2011,9h41m16.6181s,35d52m56.1678s,188.445536,48.942402,0.023376,(R')SA(r)b,7008,2,7325,16,,,,,,,,,,,,,,,,,,,34.94130798,0.375402322,HF,,34.94130798,0.375402322,,,,,,,,,,,,,,,,,,,,,,,
SN2021blz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021fmu,,,,,,,,'10:31:56.235,-15:57:19.62,0.188,0.0188,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021jag,NGC 4108,,,,,,,'12:06:44.981,+67:09:53.83,0.048,0.0048,S_F_2011,12h06m44.5584s,67d09m47.2284s,129.56645,49.385517,0.008546,(R')SAc:,2562,2,2981,17,,,,,,,,,,,,,,,,,,,32.75623314,0.522425361,HF,,32.75623314,0.522425361,,,,,,,,,,,,,,,,,,,,,,,
SN2021iyt,,,,,,,,'10:18:44.414,+00:03:19.37,0.125,0.0125,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021gma,,,,,,,,'16:05:27.778,+57:57:28.40,0.049,0.0049,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021hus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021hpr,NGC 3147,,,,,,,'10:16:38.619,+73:24:01.79,0.065,0.0065,S_F_2011,10h16m53.632s,73d24m02.34s,136.2899917,39.463239,0.009346,SA(rs)bc;HII   Sy2,2802,1,3140,15,,,,,,,,,,,,,,,,,,,32.95067817,0.497931176,HF,,32.95067817,0.497931176,,,,,,,,,,,,,,,,,,,,,,,
SN2021hku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021hen,,,,,,,,'13:07:43.886,+24:48:37.91,0.045,0.0045,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021hiz,IC 3322A,,,,,,,'12:25:41.670,+07:13:42.20,0.069,0.0069,S_F_2011,12h25m42.634s,7d13m00.15s,284.71639,69.173497,0.003312,SB(s)cd: sp    HII,993,2,1002,11,,,,,,,,,,,,,,,,,,,30.69808376,1.065276054,HF,,30.69808376,1.065276054,,,,,,,,,,,,,,,,,,,,,,,
SN2021ghc,,,,,,,,'09:56:32.994,+00:45:08.24,0.069,0.0069,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021haz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2021gno,NGC 4165,,,,,,,'12:12:10.290,+13:14:57.05,0.095,0.0095,S_F_2011,12h12m11.8s,13d14m47.4152s,267.537752,73.360437,0.006231,SAB(r)a:?;HII  LINER,1868,5,1022,57,,,,,,,,,,,,,,,,,,,32.07022188,0.638218328,HF,,32.07022188,0.638218328,,,,,,,,,,,,,,,,,,,,,,,
SN2021fxy,NGC 5018,,,,,,,'13:13:01.571,-19:30:45.18,0.256,0.0256,S_F_2011,13h13m01s,-19d31m05.87s,309.8983426,43.0614999,0.009393,E3:,2816,1,2805,22,,,,,,,,,,,,,,,,,,,32.96150077,0.49666097,HF,,32.96150077,0.49666097,,,,,,,,,,,,,,,,,,,,,,,
SN2021foa,IC 863,,,,,,,'13:17:12.354,-17:15:25.77,0.218,0.0218,S_F_2011,13h17m12.393s,-17d15m16.25s,311.675388,45.179376,0.008386,SAB(r)a        HII,2514,3,2547,23,,,,,,,,,,,,,,,,,,,32.71516388,0.528035807,HF,,32.71516388,0.528035807,,,,,,,,,,,,,,,,,,,,,,,
