event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2018zd,58182.34133,14.96,0.0,,G,Astrometric,GAIA,Gaia Photometric Science Alerts
SN2018zd,58182.51748,14.87,0.0,,G,Astrometric,GAIA,Gaia Photometric Science Alerts
SN2018zd,58216.24263,14.11,0.0,,G,Astrometric,GAIA,Gaia Photometric Science Alerts
SN2018zd,58222.9381,14.9047,0.0059,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9398,14.9,0.0055,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9415,14.9038,0.0059,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9432,14.1942,0.0046,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9449,14.2028,0.0047,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9466,14.1969,0.0046,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9482,14.0892,0.0039,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9496,14.0605,0.0037,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9511,14.0584,0.0035,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9525,13.9426,0.0045,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.954,13.9332,0.0055,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9554,13.9331,0.0048,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9587,14.9082,0.0067,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9604,14.9205,0.0053,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9621,14.9079,0.0066,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9638,14.2123,0.0043,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9655,14.2185,0.0057,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9672,14.2167,0.0039,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9688,14.0859,0.004,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9702,14.0898,0.0044,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9717,14.0914,0.0044,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9732,13.9799,0.0042,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.9746,13.9871,0.0042,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58222.976,13.9728,0.0044,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.8889,14.9971,0.0081,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.8906,15.0204,0.0079,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.8923,15.0303,0.0069,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.8941,14.2696,0.0037,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.8957,14.2726,0.0047,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.8974,14.2677,0.0049,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.8991,14.1278,0.0053,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9006,14.1213,0.0042,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9018,14.1382,0.0051,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9034,14.0258,0.0098,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9049,14.0168,0.0131,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9064,14.0113,0.006,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9099,15.0311,0.0065,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9116,15.016,0.0066,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9133,15.0247,0.0072,,B,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.915,14.277,0.0053,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9167,14.2831,0.0057,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9184,14.2614,0.0053,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.92,14.1276,0.0051,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9213,14.1285,0.0048,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9228,14.142,0.009,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9243,14.0083,0.0058,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9258,14.0184,0.009,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58226.9273,14.0093,0.0094,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8519,14.6378,0.0079,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8536,14.607,0.0072,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8553,14.5981,0.0072,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8569,14.3647,0.0067,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8583,14.3475,0.0064,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8598,14.3694,0.0059,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8613,14.1864,0.0098,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8627,14.1612,0.0085,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8641,14.1765,0.0063,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8662,14.6066,0.0085,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8679,14.6193,0.0071,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8712,14.3831,0.0042,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8726,14.3608,0.0055,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.874,14.3739,0.0066,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8755,14.2037,0.0069,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.877,14.2021,0.0125,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8784,14.1914,0.0291,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8831,14.5641,0.0499,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8848,14.6445,0.0096,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8864,14.3565,0.0059,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8878,14.3486,0.0053,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8893,14.3733,0.0056,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8907,14.2071,0.0079,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8922,14.2027,0.0051,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58250.8936,14.1953,0.0065,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8311,14.6383,0.009,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8328,14.6374,0.0088,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8345,14.6191,0.0075,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8361,14.3687,0.0064,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8375,14.393,0.0064,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.839,14.3978,0.0074,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8405,14.2211,0.0061,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8418,14.2207,0.0059,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8433,14.222,0.0066,,i,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8483,14.6241,0.0059,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8499,14.6339,0.005,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8516,14.6381,0.0081,,V,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8532,14.3808,0.0051,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
SN2018zd,58251.8547,14.3869,0.0051,,r,,,"CPCS Alert 26873,Cambridge Photometric Calibration Server"
