event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2012aw,55901.374,19.41,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55901.418,19.97,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55902.372,20.33,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55902.383,20.49,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55903.369,20.18,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55903.413,20.24,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55904.365,19.94,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55904.368,19.94,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55905.365,19.35,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55905.409,19.82,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55906.361,20.13,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55906.404,20.4,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55916.333,20.65,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55916.377,20.96,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55918.394,20.6,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55918.439,20.68,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55922.318,20.98,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55923.314,20.12,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55923.357,20.8,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55924.312,21.05,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55924.356,21.32,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55925.308,21.0,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55925.351,21.28,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55926.307,20.29,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55926.351,20.44,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55928.3,20.46,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55928.344,20.87,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55929.298,20.61,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55929.341,20.92,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55930.297,20.49,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55930.34,20.77,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55931.292,20.38,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55931.295,20.4,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55931.33,19.09,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55932.29,20.58,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55932.295,20.59,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55936.279,19.81,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55936.282,19.87,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55936.323,20.13,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55941.281,20.39,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55941.325,20.55,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55943.259,20.6,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55943.516,21.45,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55944.257,20.84,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55944.258,20.85,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55944.455,21.36,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55944.493,21.41,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55946.251,20.67,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55946.252,20.74,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55946.478,21.02,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55946.513,19.01,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55948.42,21.22,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55949.281,20.07,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55951.312,19.38,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55951.401,20.86,,T,R,,PTF48,2016ApJ...820...33R
SN2012aw,55952.303,21.13,,T,R,,PTF48,2016ApJ...820...33R
