event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2011fe,54975.239,21.61,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,54975.3,21.5854,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,54975.354,21.75,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,54975.397,21.46,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,54975.432,21.389,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,54975.459,21.5,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,54975.481,20.562,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55245.519,21.567,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55562.564,21.371,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55563.572,21.524,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55566.396,20.438,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55569.449,21.6347,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55596.444,20.154,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55598.299,19.5044,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55598.362,21.05,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55624.439,21.49,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55629.216,20.451,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55629.26,20.691,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55630.278,21.338,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55630.322,21.0863,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55631.187,21.036,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55632.216,20.491,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55632.261,20.5,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55649.259,21.65,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55649.303,20.804,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55650.236,21.2502,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55650.28,21.389,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55653.297,21.7,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55653.341,21.6944,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55654.286,21.5891,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55654.333,21.144,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55655.309,21.205,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55655.352,21.682,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55656.28,21.658,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55656.324,21.552,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55657.273,19.439,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55657.319,21.136,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55662.447,21.2,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55662.494,20.8782,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55685.312,21.56,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55685.356,21.758,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55686.32,21.53,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55687.314,21.496,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55687.358,21.596,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55688.34,21.549,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55688.384,21.418,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55689.364,21.192,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55689.408,21.0957,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55712.237,21.8342,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55712.28,21.69,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55713.197,21.5966,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55713.24,20.9297,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55714.297,21.0404,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55714.351,20.39,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55715.274,21.58,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55715.317,21.335,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55716.221,21.707,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55716.265,21.2,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55717.267,21.493,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55717.311,21.82,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55719.301,21.2,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55719.345,20.97,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55720.26,21.34,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55720.304,21.463,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55736.194,21.604,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55736.239,21.674,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55737.217,21.85,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55737.26,21.496,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55738.19,21.666,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55739.197,21.646,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55739.242,21.443,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55740.201,21.627,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55740.287,21.68,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55741.198,21.571,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55741.242,21.496,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55743.185,21.421,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55743.28,21.596,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55744.187,21.806,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55744.232,21.38,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55745.189,21.329,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55745.237,21.578,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55746.225,20.104,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55746.269,21.44,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55747.252,21.62,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55748.242,21.4,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55748.287,21.266,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55752.279,21.22,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55752.355,21.408,,T,g,PTF48,,2015MNRAS.446.3895F
SN2011fe,55776.195,21.48,,T,g,PTF48,,2015MNRAS.446.3895F
