event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2011by,55687.5209,15.709,0.075,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55687.5261,16.654,0.072,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55687.5290,13.917,0.048,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.1852,15.803,0.075,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.1869,16.571,0.070,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.19,13.45,0.09,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55688.19,13.17,0.14,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55688.19,13.7,0.25,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55688.2210,14.016,0.050,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.2675,15.729,0.074,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.4193,12.389,0.029,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.4212,12.959,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.4842,12.384,0.029,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55688.4862,12.948,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55689.1300,15.688,0.076,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55689.1329,16.632,0.074,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55689.1365,13.978,0.049,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55689.1678,12.404,0.029,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55689.1698,12.934,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55689.1727,12.968,0.030,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55689.19,13.46,0.14,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55689.19,13.23,0.18,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55690.17,13.67,0.18,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55690.17,13.27,0.11,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55691.1003,12.505,0.029,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.1022,12.939,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.1670,12.538,0.029,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.1689,12.920,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.2336,12.524,0.029,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.2356,12.936,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.5450,15.804,0.074,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.6960,15.814,0.077,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.6969,16.510,0.073,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55691.6983,14.112,0.047,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55693.19,13.68,0.11,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55693.19,13.53,0.13,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55693.19,13.59,0.25,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55693.7658,12.748,0.029,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55693.7677,12.972,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55693.7703,12.918,0.030,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55693.9007,16.120,0.080,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55693.9070,16.698,0.076,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55693.9122,14.436,0.055,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55694.19,13.72,0.12,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55694.19,13.7,0.13,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55695.0351,12.952,0.030,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55695.0371,13.058,0.029,,B,UVOT,Swift,2014Ap&SS.354...89B
