<<<<<<< HEAD
Time (MJD),UVW2,UVM2,UVW1,U,B,V,R,I
54161.8408,0.2712611867589933,0.12165852033154356,1.1344882442111657,6.309573444801924,8.839363745838412,9.324885317829096,12.835121968394963,13.061708881318404
54165.0591,0.9482385387305475,0.21324718538735882,4.975079213514403,24.99357282341085,20.005486980109627,20.043669649793685,22.36756794039576,17.7647390352195
54169.6568,1.2797146086085125,0.9866415429174656,11.63054323328467,50.1556342309658,37.351471927748484,37.55332460890841,42.47270288988454,37.673996549598606
54170.6312,2.2171478616046416,1.2062344679992498,11.86861384644918,50.19255305007231,39.18720151624763,39.021488375513954,41.27073812151358,29.948878239456807
54171.5313,2.5159654297038703,1.1206359540482422,12.846948998311909,52.38085617451135,41.035954789494745,41.9009986738035,45.550343647655964,39.763023597344834
54172.3682,2.3283977934839712,1.5524389753932877,12.280046179887874,54.04914041579083,41.50318032579899,42.81017371739556,44.38594288275772,29.674617833332626
54173.0383,2.2969511282740513,1.269501186347154,12.473835142429413,51.90646340031752,40.92626962812349,44.81164787337344,44.866046366921275,29.086598347114382
54175.6145,2.4063878951302335,1.2300959110409524,9.358365435835292,34.10044039892773,42.66816594976609,45.671240262823105,49.33277936020243,38.692136886599904
54176.5487,2.2916259811917117,1.4194091167560035,8.904304435937409,41.67558616967666,40.55539381596844,46.34370787726565,48.333720125701525,37.21702041148434
54177.5535,2.243068712982017,1.3253388595809616,7.454182133789899,38.445993124646854,39.37529916626405,45.18437349376978,47.16094774811308,34.26736471775073
54178.5577,1.8418899743140689,1.2313247749327236,7.413102413009169,33.009660532779804,37.0267186840856,45.87295301343552,45.16903871804824,24.28197482829545
54179.5612,1.027523400522112,1.1373762248980681,6.4032432446894605,29.297574551856812,35.1978351773909,44.909459789189505,43.15990159582099,23.083303441061517
54180.5907,1.3575061583620776,1.0208862582186722,5.592422830409,26.331360034716734,33.03748937223994,43.9774608530194,41.414091417705706,22.108021709801704
54181.0644,1.2886629436341546,0.7178727209417675,4.984252094042598,24.21431702336558,31.593169370510417,44.167919534376246,40.610798283782614,21.659268959827816
54182.3643,1.3540165951680807,0.6974983097029864,4.2973428115368,20.86546318715424,28.41546082312738,40.64064213756462,38.1442163150269,20.390449051204534
54183.2301,1.0528133574055119,0.580028834139358,4.269725940480331,19.251721408701158,26.236596963536503,40.662717266556086,36.69306991109707,25.149033680087086
54184.475,0.9546889311241588,0.47075411447333526,3.564511334262439,16.736635417980295,23.420554417866818,38.45685998032243,33.35966825897772,20.486419087743325
54185.3758,0.7695649051240703,0.5031388519375248,2.9566505650829416,14.823479172723621,21.670685077658636,34.4345390894885,32.59827684732881,21.317126173625983
54186.2459,0.7633271305051409,0.3762524541003676,2.6595000327215126,13.220839662605085,19.32258257193491,34.02989948166082,31.916934889051163,24.350391346231795
54187.2817,0.6971559355205112,0.5039991239776732,2.572764295346779,11.958215462057874,17.203153302745108,31.79715996564671,29.722525620360805,23.646669880463612
54188.2833,0.6600748807679103,0.29975429351767746,2.019296069798114,10.377967205227435,15.634086647411861,30.726098648989687,27.600571262828502,22.96618385988323
54189.4245,0.480704741125005,0.34683508791904116,1.8569491014904629,8.640021707217088,13.646807019810769,27.24765957469296,26.084032051506206,18.5717533614152
54190.4987,0.3729272629521793,0.6536164199209112,1.7474308552673206,5.191302961065009,12.33949192493005,23.80904651950679,25.660230840080118,23.15930500486186
54191.2665,0.5797537834867443,0.74912302949279,1.6277960863937975,7.176133351263541,11.216314077020792,25.527776845419226,25.18406689656065,21.769371841477454
54192.4401,0.3812826507545061,0.29148754321146136,1.2894366199598706,6.144773087939962,10.04630443093234,24.148109859290724,24.45623933194187,19.644826959284806
54193.0203,0.3769210127743122,0.2938624191586027,1.2189895989248665,5.52227724107191,9.181779947513663,23.01352112874975,24.09641864943614,18.59450236773815
54195.8152,0.22802752663909948,0.2319921423144869,1.0242359141215682,3.9839732457243597,7.076870432337034,20.022931290268957,22.527517947607727,16.668938782876655
54196.2686,0.21213778934538824,0.2367466388663878,1.0009214583192938,3.9664722682125593,6.982733660655705,20.029672769736223,22.29499568252871,16.775780062712254
54200.1088,0.1494216710236541,0.24209086593320064,0.6943844712409815,2.7659516104379565,5.2122207082762415,15.912862860540143,20.418184523653775,17.140617942417695
54202.4308,0.21111016437814023,0.2906994482357148,0.6014506519775487,2.52963221449119,4.478106018523691,13.378577619461279,18.13018269183576,16.75139072389457
54204.4517,0.27537412229444286,0.6659007825766097,0.48573567328785294,2.17563818514932,3.4159473311398747,12.998848606540967,16.017287954463615,15.355665170675811
54206.5268,0.14530005162761495,0.2183771558218448,0.5176068319505677,2.015682605780865,3.1419552846410683,9.920300656282127,13.805454226743619,13.284900349802374
54208.7714,0.17869798734727851,0.22149430571395104,0.4952220800885207,1.8596529739711998,3.012671539772408,8.84869303424192,12.807478370819009,16.396591061434837
54211.7969,0.1548632407271066,0.2544087914842911,0.4092606597300099,1.5418325839067677,2.540713645859599,8.103310133726266,10.876798377313929,14.21448196967879
54213.7318,0.17344226888947098,0.29508401317327043,0.3999447497610971,1.4959714574695813,2.531448630090327,7.574567152139195,9.491059654765934,10.588877007592323
54215.3133,0.14517036923584492,0.2314828861519953,0.3127519311407981,1.389394319497469,2.325194840816,6.953976130361091,9.320487355176823,12.463943720519607
54217.2887,0.16317207573094036,0.21125159662408477,0.31246400858061063,1.4334829895749053,2.206325048889736,6.290885095109275,8.840011554423468,11.711390021514175
54219.8194,0.10436393554785914,0.3019466399349131,0.3244890156605361,1.2959487591998036,2.200101407763269,5.814029074932047,7.434709454276467,6.617812130485483
54223.4978,0.14385211574365284,0.23048270941299862,0.24277278476809913,1.248547299210431,2.116731409689288,5.544782723077369,6.600923994467631,5.795140202075148
54225.6741,0.1495101161057222,0.18564992728498106,0.2392213847512053,1.2039943990624506,1.9170920297102052,4.819197179596891,6.565522117353999,7.150306318452254
54227.7947,0.12830009429863556,0.19821390761413224,0.1403459872921174,1.2382039506612306,1.8064153652321582,4.772118244538452,6.1446880721391945,6.52184879152781
54231.4648,0.1175752851393306,0.16379265218386527,0.1930189727634573,1.0414597658223008,1.769987471492528,4.442328203797914,5.7591839935871585,6.277531897428125
54237.9345,0.10636996210562549,0.15982265903990414,0.22615177461083605,0.8694165193467044,1.640057933591929,3.544698114321144,4.430949782372535,3.9656126868562906
54240.9563,0.14476463084599792,0.24036764139354394,0.2210039317349186,0.6822648068569938,1.3187648344450364,3.475387435984689,4.345274053436133,4.362327488296976
54244.4183,0.1345272275355121,0.22521786477540115,0.12635720185226512,0.7964865012437414,1.458211006094327,2.8496112867960672,3.7676448611322426,3.6171067829261845
54251.3155,0.13551671792665365,0.20937732291444547,0.14427796231294776,0.610345393131059,1.309937810050625,2.451811287004079,3.053917011938407,2.5459668142306393
54258.2466,0.12840438173425733,0.2108034666499293,0.10064680664383237,0.5354888130581563,1.3046287680575144,2.38666142571434,2.55588535398323,2.127188959416562
54268.5886,0.14747124657666022,0.23830590131931026,0.098627948563121,0.45124026645667786,1.0683015722778473,1.8729428935749037,1.9312558035526528,1.5237432209052526
54272.4349,0.11799803677584147,0.1777211734928993,0.11846771175814824,0.3722531155764758,1.1063162761806873,1.5740805510990794,1.699570492976413,1.4234166733597302
54293.0587,0.12197551098912193,0.12351660841251043,0.0897015608414813,0.23304583751288355,0.8642575543140525,1.1280845564694482,0.9734603879686636,0.8282676573848504
54309.2917,0.11830207522768606,0.17456296982686503,0.09781377043229848,0.1234931085658088,0.573632138712826,0.7698384632247074,0.6908887967513877,0.5081621457087766
=======
Time (MJD),UVW2,UVM2,UVW1,U,B,V,R,I,J,H,K
54161.8408,3.029616500404589,1.3587593013766532,12.670682249985504,70.46930689671467,98.72360501490846,104.14621701251885,143.35076007281242,145.8814260275349,146.55478409559115,160.10319546673313,390.8408957924025
54165.0591,10.590527740372938,2.3816794405178925,55.564831283712614,279.1440291719464,223.43393162036986,223.8603798250926,249.8151457486279,198.40784134849383,261.8492742886646,261.2084716386996,390.8408957924025
54169.6568,14.29266214002734,11.019436780180255,129.8972628897856,560.1698454169044,417.16486246609645,419.4192808766316,474.3620089161534,420.76702143258404,408.597686861147,354.186673990983,393.71990155483047
54170.6312,24.76250961521488,13.471989455145007,132.55618607198585,560.5821781390196,437.6674515686772,435.81666240307976,460.93770616694735,334.4880141790434,412.18272999787786,352.15970481547737,398.35928359987906
54171.5313,28.099893211226828,12.515971112179887,143.4828518232589,585.0225314859127,458.3154974197143,467.9768546407323,508.73504743841767,444.09859676505664,407.96454081530635,343.9300890195754,396.6403890417728
54172.3682,26.005019217556033,17.33862036038876,137.15132259364853,603.654985045278,463.53376771894176,478.13109656060476,495.7302832383932,331.42490049982854,400.47429137794285,333.1461962959302,393.818991811732
54173.0383,25.65380297117384,14.178592180449588,139.3156802945302,579.7242129408152,457.0904641640898,500.484825822548,501.0923826043298,324.857526968469,382.67720184869023,322.07974717610296,390.9156585781571
54175.6145,26.876061999749844,13.738489142867877,104.52014414584362,380.8552861469393,476.5450639949576,510.0852973010299,550.9796817827755,432.13825666738063,315.9043797740426,282.7397387972399,379.75379157873704
54176.5487,25.594328360520933,15.852858760694495,99.44890371547922,465.45930522623763,452.9482885232228,517.5958409399657,539.8215563690773,415.6632228948588,295.7707753037299,276.4081704491048,375.70619583663574
54177.5535,25.052010077760617,14.802222631213796,83.25302067492427,429.3891674534226,439.7682450916492,504.6476612918168,526.7232927036697,382.7196025154812,274.11562033487456,269.5981084963661,371.35271242656245
54178.5577,20.57139218766868,13.752213872040317,82.79421637123345,368.6727667077432,413.5378128416509,512.3381528787075,504.47639281765305,271.1964526925592,252.47339639022874,262.7921130615584,367.001828628427
54179.5612,11.476031222776534,12.702937044880517,71.51547046592816,327.2138426607997,393.1116851106571,501.5772511622478,482.03707870198105,257.80893250688194,230.84625864025884,255.9908618975962,362.6539777108383
54180.5907,15.161487369103844,11.401903419686521,62.459715253327595,294.0852828685303,368.9835767879571,491.16809757445793,462.53876644659897,246.91636928812312,206.96569942619766,249.50448762201785,358.1934769438421
54181.0644,14.392602805217013,8.017656586040918,55.66727981509486,270.4408075350426,352.8524975082965,493.29526058874,453.5670806618671,241.90441475026017,194.25779125419345,247.0187905537518,356.14108334177536
54182.3643,15.12251372028201,7.790102274963299,47.995442493194425,233.03868981650848,317.3618386209938,453.90039569647996,426.0187331764524,227.73343151032378,159.38548846195084,240.19768517266914,350.5090241412056
54183.2301,11.75848545658678,6.478128875032565,47.68699981017778,215.01540097888545,293.0269089540502,454.1469446990858,409.811412319471,280.88031434484805,136.15874812996242,235.6544795115053,346.7577841567008
54184.475,10.662569802354811,5.2576796919675175,39.810717055349734,186.92532989844662,261.5755647196013,429.5105353706523,372.58187436604004,228.80528557730707,125.83985835036789,241.64026607350692,341.3640227144458
54185.3758,8.594987593148094,5.619372922595274,33.02174352670769,165.55799092255626,242.0319171746359,384.5867116331288,364.0781735175759,238.08314771623944,118.76444403813124,246.18376507522729,337.4611387019081
54186.2459,8.525320180949889,4.202225378719436,29.702978440178597,147.6586992396318,215.806823267993,380.0674405673377,356.4685155938644,271.96057163680143,111.93016562665616,250.57241791868182,333.69126816538744
54187.2817,7.786278423549345,5.628980984842624,28.73425886674873,133.55691358613686,192.13569669770806,355.13079349430257,331.95996496597155,264.100965218894,103.79438171838086,255.79683650877513,329.2034714733756
54188.2833,7.372133751128158,3.3478455379432117,22.55277566745247,115.90770158190475,174.6113678911113,343.16850328736564,308.260636612015,256.50086694874716,95.92722477440336,260.84875546983454,324.8638526601462
54189.4245,5.368814583963876,3.873673627375172,20.73958204453835,96.49722704817033,152.41617209980433,304.3190956701072,291.32296752257514,207.42108776209753,88.23626552759548,266.6972953172974,319.91939080947367
54190.4987,4.1650875408668675,7.3000015755557275,19.516413002858254,57.979754853079164,137.81525027239397,265.91449022334837,286.5896875485083,258.6577660407065,90.32985156743914,272.88078873033163,315.265218955304
54191.2665,6.47505693538074,8.366679797065315,18.180256237742658,80.14759601198608,125.27088968188276,285.1103575619234,281.27158746415677,243.1341133701523,91.82627249594569,277.3005301588893,311.9385822492407
54192.4401,4.258405796440595,3.255517241987297,14.401243711755715,68.62871227871221,112.20348194923348,269.7013640520926,273.1427488877133,219.40585239833982,94.11358638197702,284.0562068201994,306.85374135547295
54193.0203,4.209692264838572,3.282041358621299,13.614446824659511,61.67628494608256,102.54792572586548,257.0295595072204,269.1240439268936,207.6751630529539,95.2443801078339,287.3960531041662,304.3399166396051
54195.8152,2.5467556398551334,2.5910349752492827,11.439314495393079,44.49553298290577,79.03896495182173,223.6287607093682,251.60156859400075,186.16925106098995,104.26264541581642,299.522655744765,292.2304910994104
54196.2686,2.3692890038527907,2.644136199854458,11.178923907117431,44.30007099707411,77.98758594626585,223.70405381589478,249.0046128724263,187.36252204893214,105.77539541714972,301.4346653341498,290.2660510335788
54200.1088,1.6688357278827706,2.703823907841631,7.75532495758591,30.891896988376132,58.21337748394506,177.72491695909554,228.0431988087077,191.437262241344,120.38725514601565,286.0040995488854,273.62766827948116
54202.4308,2.3578118382685807,3.246715298845579,6.717381285473817,28.252532507669663,50.01432031754052,149.42041650755866,202.48934724058626,187.09012648730078,129.22272129014914,276.66833661163616,263.5671701921343
54204.4517,3.0755523658049326,7.437201107281302,5.425003216311496,24.298903294612785,38.15146030504226,145.17936272109176,178.89120245458705,171.50178074351857,136.91246871936625,268.5431672232436,254.81124401440957
54206.5268,1.622802875635014,2.4389741949226753,5.780960474057187,22.512418215872042,35.09134383585525,110.79619209934899,154.18804444766764,148.37416951121412,127.59918639628266,246.08760699630017,245.82048622755732
54208.7714,1.995812145205313,2.473788496445841,5.53095340740311,20.76978060254256,33.64742120406279,98.82780040836668,143.04201889112224,183.12749945403849,108.15463352723991,215.82992005864824,236.09533807646378
54211.7969,1.7296106200029933,2.841398291210732,4.5708818961487445,17.220161471960093,28.376296941951452,90.50289273726662,121.47896361141186,158.75632498173692,89.00681649117428,188.71840040712104,222.98679502594683
54213.7318,1.937112957343241,3.2956848932082106,4.466835921509632,16.707955405764984,28.272819385923377,84.59755670070145,106.0021571090094,118.26327565048481,76.76120049942223,171.37975245680315,214.6034798884755
54215.3133,1.6213545006624914,2.5853472803333566,3.493011375635545,15.51763452121807,25.96924661636366,77.66640365943594,104.09709778400445,139.2052066385367,66.75218623979293,157.2079235594808,207.75133616533142
54217.2887,1.822408944479539,2.359391443044046,3.489795674378742,16.01004467374818,24.64163359762598,70.26058358738076,98.73084015091088,130.80021095453196,54.554885009642874,139.87928176013818,199.19254722403045
54219.8194,1.1656024400714324,3.3723310493413505,3.6240985589974413,14.473975401570824,24.57212403721072,64.93475395319223,83.03553747408067,73.91191149255619,48.262720793776616,129.1058795709816,188.22781746103416
54223.4978,1.6066314118956144,2.5741766739226524,2.7114400086883066,13.944565916038112,23.64099516904706,61.92764040333739,73.72329410813761,64.72379107433353,39.11699160754489,113.44662220641246,172.29046338503713
54225.6741,1.6698235384988587,2.0734558073772917,2.6717757271179465,13.446970948464951,21.411296305963702,53.82384213699508,73.32790355363102,79.8591433745246,33.705983987926444,104.18193054630856,162.86123772289952
