event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2006jc,54010.5,13.8,,F,,,,"2006IAUC.8762....2Y,Latest Supernovae"
SN2006jc,54020.496,14.220,0.020,F,V,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54020.497,14.080,0.030,F,B,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54020.500,14.220,0.020,F,V,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54020.502,14.070,0.030,F,B,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54021.495,13.983,0.031,F,H,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54021.495,14.163,0.016,F,J,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54021.495,13.762,0.020,F,Ks,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54021.501,14.370,0.020,F,i',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54021.502,14.360,0.020,F,r',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54021.503,14.300,0.020,F,V,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54021.505,14.110,0.030,F,B,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54021.5073,13.230,0.020,F,U,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54021.7178,13.342,0.041,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54021.7221,14.368,0.050,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54021.7254,13.154,0.042,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54021.7425,12.989,0.040,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54021.7451,13.016,0.040,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54021.7464,14.186,0.041,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54024.473,14.610,0.030,F,i',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54024.475,14.610,0.020,F,r',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54024.476,14.510,0.020,F,V,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54024.478,14.270,0.030,F,B,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54024.4799,13.440,0.010,F,U,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54024.4829,13.450,0.020,F,U,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54025.0561,13.311,0.042,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54025.0576,13.248,0.041,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54025.0586,14.392,0.043,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54025.0611,13.807,0.043,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54025.0635,14.587,0.054,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54025.0654,13.597,0.047,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54025.428,14.690,0.020,F,i',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54025.429,14.710,0.010,F,r',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54025.431,14.590,0.010,F,V,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54025.432,14.350,0.030,F,B,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54026.4,14.69,0.01,F,R,,,2011ApJ...741...97D
SN2006jc,54026.4,14.74,0.01,F,V,,,2011ApJ...741...97D
SN2006jc,54027.1635,13.496,0.043,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54027.1659,13.391,0.041,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54027.1675,14.505,0.043,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54027.1714,14.082,0.046,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54027.1754,14.820,0.060,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54027.1784,13.838,0.050,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54027.4,14.79,0.01,F,R,,,2011ApJ...741...97D
SN2006jc,54027.4,14.79,0.01,F,V,,,2011ApJ...741...97D
SN2006jc,54028.464,14.454,0.043,F,H,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54028.464,14.602,0.019,F,J,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54028.464,14.247,0.028,F,Ks,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54028.4663,13.708,0.046,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54028.5058,13.780,0.020,F,U,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54028.5088,13.770,0.010,F,U,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54029.1127,13.763,0.044,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54029.1142,13.595,0.041,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54029.1152,14.697,0.044,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54029.1177,14.349,0.047,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54029.1201,15.136,0.059,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54029.1220,14.086,0.052,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54029.4,15.0,0.01,F,R,,,2011ApJ...741...97D
SN2006jc,54029.4,14.96,0.01,F,V,,,2011ApJ...741...97D
SN2006jc,54029.492,14.970,0.020,F,V,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54029.495,14.690,0.030,F,B,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54029.522,14.552,0.023,F,H,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54029.522,14.704,0.016,F,J,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54029.522,14.342,0.025,F,Ks,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54030.4,15.13,0.01,F,R,,,2011ApJ...741...97D
SN2006jc,54030.4,15.06,0.01,F,V,,,2011ApJ...741...97D
SN2006jc,54031.3559,14.670,0.063,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54031.4,15.27,0.0,F,R,,,2011ApJ...741...97D
SN2006jc,54031.4,15.17,0.01,F,V,,,2011ApJ...741...97D
SN2006jc,54031.474,14.773,0.041,F,H,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54031.474,14.850,0.013,F,J,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54031.474,14.503,0.024,F,Ks,,PAIRITEL,2014ApJS..213...19B
SN2006jc,54031.497,15.350,0.020,F,i',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54031.498,15.400,0.020,F,r',,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54031.500,15.170,0.020,F,V,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54031.501,14.890,0.030,F,B,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54031.5037,14.080,0.020,F,U,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54031.5066,14.100,0.020,F,U,,CfA3_KEP,2014ApJS..213...19B
SN2006jc,54033.0538,14.186,0.049,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54033.0563,13.994,0.043,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54033.0580,15.046,0.047,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54033.0621,14.805,0.055,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2006jc,54033.0662,15.402,0.064,F,V,UVOT,Swift,2014Ap&SS.354...89B
