event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007Y,54145.5,17.1,,F,,,,"2007CBET..845....1M,Latest Supernovae"
SN2007Y,54150.02,16.610,0.060,F,H,RetroCam,Swope,2017arXiv170707616S
SN2007Y,54150.02,16.633,0.044,F,J,RetroCam,Swope,2017arXiv170707616S
SN2007Y,54150.02,16.695,0.037,F,Y,RetroCam,Swope,2017arXiv170707616S
SN2007Y,54151.9794,19.474,0.169,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54151.9808,16.979,0.067,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54151.9818,17.024,0.060,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54151.9839,20.774,0.278,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54151.9863,16.564,0.062,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54151.9879,20.525,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54153.02,16.701,0.013,F,B,SITe3,Swope,2017arXiv170707616S
SN2007Y,54153.02,16.394,0.009,F,V,SITe3,Swope,2017arXiv170707616S
SN2007Y,54153.0839,19.113,0.270,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54153.0853,16.515,0.085,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54153.0863,16.669,0.073,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54153.0886,20.236,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54153.0908,16.249,0.086,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54153.0926,19.564,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54154.02,16.466,0.009,F,B,SITe3,Swope,2017arXiv170707616S
SN2007Y,54154.02,16.208,0.008,F,V,SITe3,Swope,2017arXiv170707616S
SN2007Y,54154.02,16.275,0.008,F,g,SITe3,Swope,2017arXiv170707616S
SN2007Y,54154.02,16.327,0.009,F,i,SITe3,Swope,2017arXiv170707616S
SN2007Y,54154.02,16.219,0.007,F,r,SITe3,Swope,2017arXiv170707616S
SN2007Y,54154.02,16.959,0.014,F,u,SITe3,Swope,2017arXiv170707616S
SN2007Y,54154.2126,18.165,0.114,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54154.2139,16.146,0.067,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54154.2148,16.392,0.060,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54154.2170,20.038,0.228,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54154.2192,16.072,0.065,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54154.2208,20.268,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54155.03,16.261,0.015,F,B,SITe3,Swope,2017arXiv170707616S
SN2007Y,54155.03,16.059,0.012,F,V,SITe3,Swope,2017arXiv170707616S
SN2007Y,54155.03,16.176,0.011,F,i,SITe3,Swope,2017arXiv170707616S
SN2007Y,54155.03,16.078,0.010,F,r,SITe3,Swope,2017arXiv170707616S
SN2007Y,54155.3174,17.990,0.081,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54155.3197,15.824,0.060,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54155.3213,16.228,0.056,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54155.3251,20.098,0.166,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54155.3290,15.949,0.056,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54155.3319,20.912,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007Y,54156.03,15.629,0.017,F,J,RetroCam,Swope,2017arXiv170707616S
SN2007Y,54156.03,15.668,0.014,F,Y,RetroCam,Swope,2017arXiv170707616S
SN2007Y,54157.6934,17.253,0.070,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
