event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2017eaw,57879.5309954,21.5,,T,G,Astrometric,Gaia,Transient Name Server
SN2017eaw,57887.5907,12.261,0.029,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.5922,12.227,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.5931,13.264,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.5955,12.384,0.029,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.5979,13.112,0.033,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.6034,12.560,0.030,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.6520,12.266,0.029,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.6534,12.239,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.6544,13.305,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.6552,12.396,0.031,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9181,12.262,0.030,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9192,12.143,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9198,12.184,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9209,13.249,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9216,13.249,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9226,12.469,0.035,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9233,12.504,0.031,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9243,12.983,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9250,13.067,0.033,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9260,12.534,0.042,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9267,12.591,0.035,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.9283,12.589,0.034,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57887.97,13.32,0.02,F,B,,T60,2018arXiv180100340T
SN2017eaw,57887.97,12.68,0.02,F,I,,T60,2018arXiv180100340T
SN2017eaw,57887.97,12.92,0.02,F,R,,T60,2018arXiv180100340T
SN2017eaw,57887.97,12.62,0.04,F,U,,T60,2018arXiv180100340T
SN2017eaw,57887.97,13.13,0.01,F,V,,T60,2018arXiv180100340T
SN2017eaw,57888.6586,12.284,0.030,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6596,12.165,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6603,12.173,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6613,13.228,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6620,13.196,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6631,12.664,0.037,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6638,12.631,0.032,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6648,12.956,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6655,12.951,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6665,12.682,0.045,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6672,12.638,0.035,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.6702,12.645,0.032,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7246,12.328,0.031,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7256,12.230,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7263,12.202,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7273,13.201,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7280,13.191,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7291,12.669,0.037,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7298,12.657,0.032,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7308,12.985,0.036,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7315,12.954,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.7851,12.310,0.030,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.8045,12.659,0.031,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.8558,12.317,0.030,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.8711,12.679,0.032,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57888.9154,12.332,0.030,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8497,12.403,0.031,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8508,12.200,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8515,12.164,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8525,13.143,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8532,13.126,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8542,12.892,0.040,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8549,12.906,0.034,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8559,12.918,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8566,12.859,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8576,12.811,0.048,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8583,12.807,0.037,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.8605,12.831,0.034,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57889.91,13.30,0.04,F,B,,P40,2018arXiv180100340T
SN2017eaw,57889.91,12.37,0.03,F,I,,P40,2018arXiv180100340T
SN2017eaw,57889.91,12.64,0.02,F,R,,P40,2018arXiv180100340T
SN2017eaw,57889.91,12.93,0.02,F,V,,P40,2018arXiv180100340T
SN2017eaw,57890.1114,12.404,0.031,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1125,12.202,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1132,12.223,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1142,13.117,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1149,13.148,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1159,13.065,0.043,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1166,12.955,0.034,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1176,12.822,0.034,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1183,12.841,0.031,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1200,12.900,0.038,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1233,12.864,0.032,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1820,12.282,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1827,12.205,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1837,13.212,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1844,13.159,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1855,13.011,0.042,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1862,13.018,0.034,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1872,12.767,0.034,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1879,12.833,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1889,12.962,0.052,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1896,12.875,0.038,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57890.1928,12.879,0.033,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8410,12.581,0.031,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8421,12.154,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8428,12.217,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8438,13.136,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8445,13.124,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8462,13.423,0.038,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8472,12.881,0.034,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8479,12.805,0.031,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8489,13.122,0.057,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8496,13.205,0.042,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.8541,13.196,0.034,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57891.91,13.25,0.03,F,B,,M70,2018arXiv180100340T
SN2017eaw,57891.91,12.19,0.03,F,I,,M70,2018arXiv180100340T
SN2017eaw,57891.91,12.54,0.02,F,R,,M70,2018arXiv180100340T
SN2017eaw,57891.91,12.53,0.06,F,U,,M70,2018arXiv180100340T
SN2017eaw,57891.91,12.89,0.02,F,V,,M70,2018arXiv180100340T
SN2017eaw,57892.02,13.20,0.02,F,B,,S100,2018arXiv180100340T
SN2017eaw,57892.02,12.18,0.02,F,I,,S100,2018arXiv180100340T
SN2017eaw,57892.02,12.54,0.02,F,R,,S100,2018arXiv180100340T
SN2017eaw,57892.02,12.86,0.01,F,V,,S100,2018arXiv180100340T
SN2017eaw,57895.7541,13.074,0.032,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57895.7796,14.157,0.046,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57895.8205,13.081,0.032,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5469,13.291,0.036,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5480,12.532,0.030,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5487,12.496,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5497,13.125,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5504,13.229,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5514,14.430,0.091,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5521,14.529,0.063,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5532,12.928,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5539,12.864,0.031,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5549,14.381,0.123,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5556,14.581,0.071,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57897.5613,14.603,0.050,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57898.02,13.33,0.03,F,B,,C60,2018arXiv180100340T
SN2017eaw,57898.02,12.22,0.03,F,I,,C60,2018arXiv180100340T
SN2017eaw,57898.02,12.56,0.02,F,R,,C60,2018arXiv180100340T
SN2017eaw,57898.02,12.50,0.09,F,U,,C60,2018arXiv180100340T
SN2017eaw,57898.02,12.97,0.02,F,V,,C60,2018arXiv180100340T
SN2017eaw,57899.4158,13.631,0.040,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4169,12.719,0.030,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4176,12.634,0.029,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4186,13.311,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4193,13.282,0.029,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4203,14.786,0.115,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4220,12.884,0.034,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4227,12.929,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4238,14.709,0.153,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4245,15.143,0.084,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57899.4280,15.053,0.055,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57900.95,12.26,0.01,F,I,,K250,2018arXiv180100340T
SN2017eaw,57900.95,12.58,0.01,F,R,,K250,2018arXiv180100340T
SN2017eaw,57900.95,12.94,0.01,F,U,,K250,2018arXiv180100340T
SN2017eaw,57900.95,12.99,0.01,F,V,,K250,2018arXiv180100340T
SN2017eaw,57900.98,13.37,0.03,F,B,,C60,2018arXiv180100340T
SN2017eaw,57900.98,12.23,0.03,F,I,,C60,2018arXiv180100340T
SN2017eaw,57900.98,12.57,0.03,F,R,,C60,2018arXiv180100340T
SN2017eaw,57900.98,12.82,0.10,F,U,,C60,2018arXiv180100340T
SN2017eaw,57900.98,13.00,0.01,F,V,,C60,2018arXiv180100340T
SN2017eaw,57902.0757,14.143,0.054,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.0767,12.878,0.040,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.0774,13.356,0.040,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.0791,15.410,0.070,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.0808,12.922,0.042,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.0823,15.854,0.083,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2705,14.385,0.059,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2715,12.933,0.031,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2722,12.928,0.030,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2732,13.437,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2739,13.367,0.030,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2750,15.342,0.167,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2757,15.506,0.086,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2767,12.976,0.035,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2774,12.955,0.032,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2784,16.073,0.305,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57902.2791,15.971,0.112,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2017eaw,57903.85,13.48,0.03,F,B,,M70,2018arXiv180100340T
SN2017eaw,57903.85,12.16,0.03,F,I,,M70,2018arXiv180100340T
SN2017eaw,57903.85,12.55,0.02,F,R,,M70,2018arXiv180100340T
SN2017eaw,57903.85,13.10,0.06,F,U,,M70,2018arXiv180100340T
SN2017eaw,57903.85,13.05,0.01,F,V,,M70,2018arXiv180100340T
SN2017eaw,57903.96,12.26,0.01,F,I,,K250,2018arXiv180100340T
