#CfA3-era Type II SN Natural System Light Curves
#Name	  Band	MJD	     N  NatMag  dMag   Campaign  Camera
SN2000eo  I	51953.16549  0  18.827  0.068  CfA3  4SH
SN2001ez  B	52206.41856  1  18.736  0.032  CfA3  4SH
SN2001ez  B	52226.45722  1  19.439  0.057  CfA3  4SH
SN2001ez  B	52228.48566  1  19.544  0.055  CfA3  4SH
SN2001ez  B	52266.31292  1  20.210  0.093  CfA3  4SH
SN2001ez  B	52267.36079  1  20.203  0.074  CfA3  4SH
SN2001ez  V	52206.42177  1  18.220  0.030  CfA3  4SH
SN2001ez  V	52226.46041  1  18.318  0.042  CfA3  4SH
SN2001ez  V	52228.48884  1  18.355  0.025  CfA3  4SH
SN2001ez  V	52257.35461  1  18.581  0.042  CfA3  4SH
SN2001ez  V	52266.31610  1  18.641  0.027  CfA3  4SH
SN2001ez  V	52267.36397  1  18.589  0.034  CfA3  4SH
SN2001ez  R	52206.42427  1  17.724  0.035  CfA3  4SH
SN2001ez  R	52226.46291  1  17.650  0.032  CfA3  4SH
SN2001ez  R	52228.49133  1  17.697  0.027  CfA3  4SH
SN2001ez  R	52257.35709  1  17.777  0.034  CfA3  4SH
SN2001ez  R	52266.31859  1  17.900  0.023  CfA3  4SH
SN2001ez  R	52267.36647  1  17.921  0.028  CfA3  4SH
SN2001ez  R	52286.34174  1  19.037  0.092  CfA3  4SH
SN2001ez  I	52206.42608  1  17.394  0.028  CfA3  4SH
SN2001ez  I	52226.46470  1  17.394  0.085  CfA3  4SH
SN2001ez  I	52228.49313  1  17.341  0.035  CfA3  4SH
SN2001ez  I	52257.35891  1  17.311  0.039  CfA3  4SH
SN2001ez  I	52266.32038  1  17.398  0.026  CfA3  4SH
SN2001ez  I	52267.36825  1  17.398  0.030  CfA3  4SH
SN2001fa  B	52206.26696  1  16.410  0.028  CfA3  4SH
SN2001fa  B	52221.14477  1  17.613  0.031  CfA3  4SH
SN2001fa  B	52257.25454  1  18.855  0.038  CfA3  4SH
SN2001fa  B	52258.16204  1  18.807  0.042  CfA3  4SH
SN2001fa  B	52266.20543  1  19.472  0.099  CfA3  4SH
SN2001fa  V	52221.14796  1  17.099  0.025  CfA3  4SH
SN2001fa  V	52225.14597  1  17.302  0.026  CfA3  4SH
SN2001fa  V	52226.28938  1  17.280  0.028  CfA3  4SH
SN2001fa  V	52258.16522  1  17.764  0.025  CfA3  4SH
SN2001fa  R	52206.27265  1  16.148  0.027  CfA3  4SH
SN2001fa  R	52225.14847  1  16.946  0.031  CfA3  4SH
SN2001fa  R	52257.26022  1  17.242  0.035  CfA3  4SH
SN2001fa  R	52258.16773  1  17.170  0.028  CfA3  4SH
