# based on SN2011fe
# The UV and optical spectra are from HST  with a blackbody extension. 
      8940.00  5.65211e-14
      8960.00  5.60614e-14
      8980.00  5.62770e-14
      9000.00  5.70527e-14
      9020.00  5.71236e-14
      9040.00  5.81195e-14
      9060.00  5.68379e-14
      9080.00  5.50901e-14
      9100.00  5.33066e-14
      9120.00  5.08933e-14
      9140.00  4.96028e-14
      9160.00  4.96069e-14
      9180.00  5.00432e-14
      9200.00  5.10625e-14
      9220.00  5.10884e-14
      9240.00  5.10220e-14
      9260.00  5.13480e-14
      9280.00  5.05924e-14
      9300.00  4.91856e-14
      9320.00  4.89881e-14
      9340.00  4.84464e-14
      9360.00  4.75160e-14
      9380.00  4.65756e-14
      9400.00  4.61187e-14
      9420.00  4.44751e-14
      9440.00  4.35079e-14
      9460.00  4.22835e-14
      9480.00  4.13772e-14
      9500.00  4.12361e-14
      9520.00  4.02338e-14
      9540.00  3.89678e-14
      9560.00  3.75054e-14
      9580.00  3.64748e-14
      9600.00  3.48409e-14
      9620.00  3.35915e-14
      9640.00  3.24554e-14
      9660.00  3.16878e-14
      9680.00  3.05611e-14
      9700.00  2.92871e-14
      9720.00  2.85122e-14
      9740.00  2.77984e-14
      9760.00  2.72046e-14
      9780.00  2.67495e-14
      9800.00  2.62506e-14
      9820.00  2.57808e-14
      9840.00  2.51924e-14
      9860.00  2.45370e-14
      9880.00  2.43213e-14
      9900.00  2.37890e-14
      9920.00  2.35643e-14
      9940.00  2.33037e-14
      9960.00  2.31977e-14
      9980.00  2.29673e-14
      10000.0  2.25252e-14
      10020.0  2.26522e-14
      10040.0  2.16209e-14
      10060.0  2.17632e-14
      10080.0  2.13612e-14
      10100.0  2.10155e-14
      10120.0  2.02758e-14
      10140.0  1.97479e-14
      10160.0  1.95537e-14
      10180.0  1.91177e-14
      10200.0  1.89819e-14
      10220.0  1.86927e-14
      10240.0  1.82579e-14
      10260.0  1.81563e-14
      10280.0  1.77726e-14
      10300.0  1.73459e-14
      10320.0  1.73953e-14
      10340.0  1.71380e-14
      10360.0  1.68845e-14
      10380.0  1.66353e-14
      10400.0  1.64138e-14
      10420.0  1.60534e-14
      10440.0  1.57392e-14
      10460.0  1.53119e-14
      10480.0  1.48701e-14
      10500.0  1.47401e-14
      10520.0  1.46878e-14
      10540.0  1.48382e-14
      10560.0  1.50467e-14
      10580.0  1.55232e-14
      10600.0  1.57686e-14
      10620.0  1.60006e-14
      10640.0  1.61991e-14
      10660.0  1.65095e-14
      10680.0  1.68103e-14
      10700.0  1.70491e-14
      10720.0  1.71734e-14
      10740.0  1.72188e-14
      10760.0  1.71314e-14
      10780.0  1.72527e-14
      10800.0  1.73105e-14
      10820.0  1.74177e-14
      10840.0  1.73222e-14
      10860.0  1.75061e-14
      10880.0  1.75654e-14
      10900.0  1.78663e-14
      10920.0  1.80782e-14
      10940.0  1.80079e-14
      10960.0  1.80721e-14
      10980.0  1.78440e-14
      11000.0  1.75759e-14
      11020.0  1.71151e-14
      11040.0  1.69698e-14
      11060.0  1.68801e-14
      11080.0  1.67456e-14
      11100.0  1.65572e-14
      11120.0  1.65820e-14
      11140.0  1.63323e-14
      11160.0  1.61796e-14
      11180.0  1.60725e-14
      11200.0  1.59497e-14
      11220.0  1.55116e-14
      11240.0  1.56583e-14
      11260.0  1.55455e-14
      11280.0  1.54459e-14
      11300.0  1.50999e-14
      11320.0  1.53429e-14
      11340.0  1.51531e-14
      11360.0  1.48953e-14
      11380.0  1.51155e-14
      11400.0  1.51829e-14
      11420.0  1.49662e-14
      11440.0  1.47787e-14
      11460.0  1.46160e-14
      11480.0  1.50459e-14
      11500.0  1.50528e-14
      11520.0  1.48886e-14
      11540.0  1.47411e-14
      11560.0  1.47899e-14
      11580.0  1.47676e-14
      11600.0  1.47691e-14
      11620.0  1.45739e-14
      11640.0  1.44301e-14
      11660.0  1.43758e-14
      11680.0  1.40395e-14
      11700.0  1.41054e-14
      11720.0  1.39544e-14
      11740.0  1.42389e-14
      11760.0  1.40060e-14
      11780.0  1.38728e-14
      11800.0  1.37852e-14
      11820.0  1.40195e-14
      11840.0  1.38170e-14
      11860.0  1.37943e-14
      11880.0  1.37747e-14
      11900.0  1.37561e-14
      11920.0  1.36720e-14
      11940.0  1.37839e-14
      11960.0  1.37232e-14
      11980.0  1.38492e-14
      12000.0  1.35400e-14
      12020.0  1.37203e-14
      12040.0  1.33567e-14
      12060.0  1.36409e-14
      12080.0  1.37836e-14
      12100.0  1.37658e-14
      12120.0  1.36808e-14
      12140.0  1.38619e-14
      12160.0  1.38744e-14
      12180.0  1.36153e-14
      12200.0  1.36135e-14
      12220.0  1.36712e-14
      12240.0  1.37971e-14
      12260.0  1.39436e-14
      12280.0  1.39688e-14
      12300.0  1.40874e-14
      12320.0  1.42270e-14
      12340.0  1.43591e-14
      12360.0  1.45203e-14
      12380.0  1.46609e-14
      12400.0  1.47840e-14
      12420.0  1.48899e-14
      12440.0  1.50367e-14
      12460.0  1.51180e-14
      12480.0  1.52487e-14
      12500.0  1.54741e-14
      12520.0  1.56342e-14
      12540.0  1.56084e-14
      12560.0  1.57281e-14
      12580.0  1.56613e-14
      12600.0  1.56916e-14
      12620.0  1.56074e-14
      12640.0  1.54936e-14
      12660.0  1.53175e-14
      12680.0  1.51563e-14
      12700.0  1.49935e-14
      12720.0  1.48624e-14
      12740.0  1.46782e-14
      12760.0  1.46464e-14
      12780.0  1.45617e-14
      12800.0  1.43794e-14
      12820.0  1.42668e-14
      12840.0  1.39635e-14
      12860.0  1.37435e-14
      12880.0  1.33418e-14
      12900.0  1.29403e-14
      12920.0  1.28084e-14
      12940.0  1.26065e-14
      12960.0  1.24088e-14
      12980.0  1.22739e-14
      13000.0  1.21510e-14
      13020.0  1.19600e-14
      13040.0  1.18102e-14
      13060.0  1.16652e-14
      13080.0  1.14418e-14
      13100.0  1.13004e-14
      13120.0  1.10921e-14
      13140.0  1.09401e-14
      13160.0  1.08656e-14
      13180.0  1.08065e-14
      13200.0  1.08324e-14
      13220.0  1.07313e-14
      13240.0  1.06555e-14
      13260.0  1.06563e-14
      13280.0  1.06921e-14
      13300.0  1.06433e-14
      13320.0  1.06191e-14
      13340.0  1.05250e-14
      13360.0  1.04229e-14
      13380.0  1.03542e-14
      13400.0  1.03562e-14
      13420.0  1.03514e-14
      13440.0  1.06849e-14
      13460.0  1.05882e-14
      13480.0  1.10732e-14
      13500.0  1.09946e-14
      13520.0  1.50574e-14
      13540.0  1.37243e-14
      13560.0  1.32366e-14
      13580.0  1.28516e-14
      13600.0  1.27996e-14
      13620.0  1.30368e-14
      13640.0  1.22434e-14
      13660.0  1.24405e-14
      13680.0  1.19221e-14
      13700.0  1.19771e-14
      13720.0  1.14102e-14
      13740.0  1.07417e-14
      13760.0  1.05373e-14
      13780.0  1.04455e-14
      13800.0  1.03821e-14
      13820.0  1.09580e-14
      13840.0  1.01758e-14
      13860.0  9.82330e-15
      13880.0  9.45671e-15
      13900.0  9.03753e-15
      13920.0  8.87409e-15
      13940.0  1.00330e-14
      13960.0  8.43146e-15
      13980.0  9.15419e-15
      14000.0  1.04935e-14
      14020.0  7.93599e-15
      14040.0  8.36787e-15
      14060.0  7.89686e-15
      14080.0  8.03240e-15
      14100.0  7.59537e-15
      14120.0  7.28597e-15
      14140.0  7.63549e-15
      14160.0  6.97922e-15
      14180.0  7.25251e-15
      14200.0  6.86359e-15
      14220.0  6.90184e-15
      14240.0  6.68740e-15
      14260.0  6.63135e-15
      14280.0  6.63137e-15
      14300.0  6.57152e-15
      14320.0  6.41014e-15
      14340.0  6.02130e-15
      14360.0  6.61208e-15
      14380.0  6.31024e-15
      14400.0  6.48441e-15
      14420.0  6.33072e-15
      14440.0  6.33126e-15
      14460.0  6.20622e-15
      14480.0  6.11435e-15
      14500.0  6.29316e-15
      14520.0  6.04965e-15
      14540.0  6.16763e-15
      14560.0  6.09192e-15
      14580.0  5.96939e-15
      14600.0  5.99082e-15
      14620.0  6.00853e-15
      14640.0  5.95992e-15
      14660.0  5.89991e-15
      14680.0  5.86394e-15
      14700.0  5.91544e-15
      14720.0  5.79622e-15
      14740.0  5.72244e-15
      14760.0  5.71453e-15
