56010.07 7.6 13 0.06 12.95 0.06 12.66 0.06
56011.09 8.6 13.04 0.04 12.87 0.04 12.71 0.07
56012.12 9.6 12.9 0.04 12.78 0.04 12.52 0.04
56016.68 14.2 12.82 0.1 12.63 0.07 12.45 0.06
56019.07 16.6 12.8 0.04 12.62 0.04 12.56 0.04
56022.08 19.6 12.74 0.03 12.57 0.03 12.42 0.04
56025.07 22.6 0 0 12.55 0.08 12.35 0.04
56031.37 28.9 12.56 0.07 12.39 0.08 0 0
56035.01 32.5 12.54 0.05 12.34 0.05 12.26 0.04
56040.38 37.9 0 0 0 0 11.96 0.17
56042.12 39.6 12.49 0.09 12.34 0.09 12.14 0.09
56049.99 47.5 12.41 0.04 12.21 0.04 12.08 0.06
56052.42 49.9 12.34 0.04 12.03 0.06 0 0
56063.41 60.9 12.49 0.04 12.74 0.07 0 0
56085.4 82.9 12.31 0.02 12.18 0.06 0 0
56088.41 85.9 12.34 0.04 12.12 0.04 11.97 0.11
56096.44 93.9 12.42 0.03 12.23 0.06 12.04 0.01
