#Name	  Band	      MJD	 Mag	  dMag
SN2008in  H           54879.33   14.095   0.030      
SN2008in  H           54880.36   14.186   0.020      
SN2008in  H           54881.33   14.180   0.023      
SN2008in  H           54884.33   14.182   0.040      
SN2008in  H           54888.25   14.201   0.032      
SN2008in  H           54889.30   14.245   0.081      
SN2008in  H           54890.35   14.326   0.091      
SN2008in  H           54891.29   14.244   0.020      
SN2008in  H           54892.28   14.262   0.038      
SN2008in  H           54893.34   14.281   0.040      
SN2008in  H           54895.30   14.344   0.230      
SN2008in  H           54898.27   14.315   0.044      
SN2008in  H           54903.29   14.323   0.019      
SN2008in  H           54904.28   14.317   0.017      
SN2008in  H           54923.34   14.692   0.075      
SN2008in  H           54928.32   14.847   0.064      
SN2008in  H           54934.20   15.444   0.050      
SN2008in  H           54939.12   15.534   0.027      
SN2008in  H           54940.20   15.791   0.032      
SN2008in  H           54950.23   15.819   0.051      
SN2008in  H           54955.20   15.894   0.076      
SN2008in  H           54974.15   15.949   0.046      
SN2008in  H           54979.18   15.971   0.049      
SN2008in  K           54831.51   14.308   0.046      
SN2008in  K           54833.54   14.193   0.217      
SN2008in  K           54838.43   14.130   0.031      
SN2008in  K           54839.38   14.331   0.052       
SN2008in  K           54842.36   14.113   0.026       
SN2008in  K           54844.41   14.159   0.037      
SN2008in  K           54846.35   14.192   0.070      
SN2008in  K           54848.36   14.178   0.042      
SN2008in  K           54860.30   14.162   0.117      
SN2008in  K           54861.30   14.132   0.040      
SN2008in  K           54863.31   14.003   0.100      
SN2008in  K           54865.41   14.071   0.048      
SN2008in  K           54869.43   13.933   0.124      
SN2008in  K           54873.36   13.987   0.034      
SN2008in  K           54878.34   14.040   0.075      
SN2008in  K           54879.33   14.003   0.022      
SN2008in  K           54880.36   13.978   0.018      
SN2008in  K           54881.33   14.140   0.070      
SN2008in  K           54884.33   14.078   0.077      
SN2008in  K           54888.25   14.183   0.035      
SN2008in  K           54889.30   14.140   0.175      
SN2008in  K           54891.29   14.112   0.041      
SN2008in  K           54892.28   14.163   0.044      
SN2008in  K           54893.34   14.173   0.096      
SN2008in  K           54898.27   14.298   0.064      
SN2008in  K           54903.29   14.174   0.061      
SN2008in  K           54904.28   14.156   0.053      
SN2008in  K           54923.34   14.548   0.052      
SN2008in  K           54928.32   15.387   0.325      
SN2008in  K           54934.20   15.370   0.070      
SN2008in  K           54939.12   15.461   0.099      
SN2008in  K           54940.20   15.550   0.137      
SN2008in  K           54950.23   16.025   0.273      
