#06bp from Quimby et al.
0.0 24.0  0.2
0.1 17.75 0.19
0.2 17.50 0.18
1.1 15.44 0.03
1.2 15.44 0.05
2.1 15.14 0.05
2.8 15.11 0.06
4.1 14.88 0.03
6.1 14.75 0.03
