2001ej B 52188.42804 17.861 0.041 CfA3_4SH
2001ej B 52206.47248 19.175 0.044 CfA3_4SH
2001ej B 52226.47150 19.579 0.072 CfA3_4SH
2001ej B 52227.51045 19.574 0.064 CfA3_4SH
2001ej B 52228.50909 19.639 0.064 CfA3_4SH
2001ej B 52257.42124 20.002 0.099 CfA3_4SH
2001ej B 52266.42038 19.836 0.086 CfA3_4SH
2001ej B 52267.45358 19.820 0.080 CfA3_4SH
2001ej V 52188.43124 17.206 0.026 CfA3_4SH
2001ej V 52206.47567 18.092 0.027 CfA3_4SH
2001ej V 52226.47470 18.458 0.035 CfA3_4SH
2001ej V 52228.51227 18.472 0.030 CfA3_4SH
2001ej V 52257.42443 19.082 0.074 CfA3_4SH
2001ej V 52266.42355 19.079 0.053 CfA3_4SH
2001ej V 52267.45675 18.993 0.049 CfA3_4SH
2001ej R 52188.43374 16.746 0.027 CfA3_4SH
2001ej R 52206.47819 17.509 0.028 CfA3_4SH
2001ej R 52226.47720 17.899 0.087 CfA3_4SH
2001ej R 52227.51615 17.939 0.036 CfA3_4SH
2001ej R 52228.51477 17.823 0.030 CfA3_4SH
2001ej R 52257.42693 18.442 0.051 CfA3_4SH
2001ej R 52266.42605 18.413 0.046 CfA3_4SH
2001ej R 52267.45926 18.462 0.049 CfA3_4SH
2001ej I 52188.43589 16.485 0.034 CfA3_4SH
2001ej I 52206.48001 16.941 0.033 CfA3_4SH
2001ej I 52226.47899 17.339 0.127 CfA3_4SH
2001ej I 52227.51793 17.380 0.041 CfA3_4SH
2001ej I 52228.51656 17.388 0.041 CfA3_4SH
2001ej I 52257.42875 17.952 0.057 CfA3_4SH
2001ej I 52266.42787 18.007 0.062 CfA3_4SH
2001ej I 52267.46104 17.887 0.053 CfA3_4SH
2001gd U 52320.45929 19.598 0.169 CfA3_4SH
2001gd B 52266.52417 18.601 0.029 CfA3_4SH
2001gd B 52320.46321 19.517 0.060 CfA3_4SH
2001gd V 52266.52735 17.808 0.027 CfA3_4SH
2001gd V 52320.46638 18.735 0.044 CfA3_4SH
2001gd R 52266.52983 17.123 0.020 CfA3_4SH
2001gd R 52320.46884 18.056 0.024 CfA3_4SH
2001gd I 52266.53162 16.493 0.024 CfA3_4SH
2001gd I 52320.47063 17.471 0.033 CfA3_4SH
2002ap U 52306.10689 13.578 0.097 CfA3_4SH
2002ap U 52306.12661 13.585 0.104 CfA3_4SH
2002ap U 52320.10345 14.900 0.039 CfA3_4SH
2002ap U 52343.09644 16.482 0.056 CfA3_4SH
2002ap B 52320.10666 13.768 0.025 CfA3_4SH
2002ap B 52343.09966 15.347 0.020 CfA3_4SH
2002ap B 52453.46443 16.862 0.038 CfA3_4SH
2002ap B 52468.44644 17.159 0.024 CfA3_4SH
2002ap B 52579.26427 19.058 0.059 CfA3_4SH
2002ap B 52580.36453 19.090 0.043 CfA3_4SH
2002ap V 52320.10821 12.791 0.030 CfA3_4SH
2002ap V 52343.10122 14.385 0.016 CfA3_4SH
2002ap V 52453.47336 16.479 0.032 CfA3_4SH
2002ap V 52468.44959 16.784 0.019 CfA3_4SH
2002ap R 52320.10929 12.561 0.037 CfA3_4SH
2002ap R 52343.10230 13.855 0.021 CfA3_4SH
2002ap R 52453.47515 15.700 0.022 CfA3_4SH
2002ap R 52468.45207 15.957 0.023 CfA3_4SH
2002ap R 52579.27126 17.813 0.040 CfA3_4SH
2002ap R 52579.28403 17.818 0.092 CfA3_4SH
2002ap R 52580.36126 17.757 0.033 CfA3_4SH
2002ap R 52614.19352 18.308 0.029 CfA3_4SH
2002ap I 52320.11038 12.065 0.039 CfA3_4SH
2002ap I 52343.10341 12.881 0.031 CfA3_4SH
2002ap I 52453.46586 14.978 0.025 CfA3_4SH
