Time (MJD),UVW2,UVW2err,UVM2,UVM2err,UVW1,UVW1err,U,Uerr,B,Berr,V,Verr
54161.85322999999,0.267,0.048,0.032,0.025,1.199,0.097,15.275,0.797,39.971,1.381,14.393,0.695
54165.064809999996,1.02,0.108,0.106,0.039,5.258,0.337,60.515,2.377,100.605,2.900,32.774,1.213
54169.66061666667,1.279,0.131,0.606,0.084,12.294,0.716,121.711,4.572,183.893,5.006,60.094,1.890
54170.633720000005,2.411,0.226,0.867,0.119,12.538,0.713,121.721,4.573,197.413,5.390,63.164,2.036
54171.53513333333,2.517,0.205,0.686,0.091,13.576,0.756,126.88,4.754,201.98,5.467,67.194,2.057
54172.36668888889,1.984,0.200,0.956,0.151,12.973,0.731,130.835,4.890,197.94,5.393,67.38,2.114
54173.04075000001,1.931,0.197,0.641,0.125,13.185,0.737,125.713,4.710,204.366,5.557,71.084,2.202
54174.0058,2.642,0.195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54174.68273333333,2.473,0.182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54174.716199999995,2.473,0.182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54174.74941999999,2.48,0.180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54174.81622,2.626,0.191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54174.849525,2.626,0.191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54174.88283333333,2.626,0.191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54175.414283333324,2.287,0.174,0.719,0.114,nan,nan,nan,nan,nan,nan,nan,nan
54175.4481,2.287,0.174,0.719,0.114,nan,nan,nan,nan,nan,nan,nan,nan
54175.4936909091,2.413,0.187,0.756,0.117,9.893,0.640,nan,nan,nan,nan,nan,nan
54175.5547,2.174,0.184,0.678,0.111,9.893,0.640,nan,nan,nan,nan,nan,nan
54175.6156,2.178,0.185,0.917,0.129,9.893,0.640,nan,nan,nan,nan,nan,nan
54175.676390909095,2.399,0.193,0.69,0.111,9.893,0.640,nan,nan,nan,nan,nan,nan
54175.737054545454,2.395,0.198,0.909,0.128,9.893,0.640,nan,nan,nan,nan,nan,nan
54175.782725,2.395,0.198,0.909,0.128,nan,nan,nan,nan,nan,nan,nan,nan
54175.816133333334,2.395,0.198,0.909,0.128,nan,nan,nan,nan,nan,nan,nan,nan
54176.55192,2.29,0.187,nan,nan,9.406,0.605,100.882,3.833,199.473,5.399,74.109,2.195
54177.55654,2.244,0.186,nan,nan,7.878,0.523,93.035,3.562,193.69,5.253,72.392,2.159
54178.560939999996,1.84,0.159,nan,nan,7.834,0.516,80.116,3.106,182.166,4.958,73.399,2.178
54179.564620000005,1.024,0.106,nan,nan,6.766,0.452,71.152,2.793,173.201,4.727,71.841,2.135
54180.59115555555,1.252,0.185,0.64,0.069,5.911,0.385,63.716,2.508,161.428,4.545,68.643,2.277
54181.06751,1.371,0.142,0.533,0.088,5.268,0.359,58.624,2.350,153.993,4.273,68.809,2.119
54182.36788,1.354,0.126,nan,nan,4.54,0.324,50.915,2.094,139.671,3.879,64.997,1.967
54183.233519999994,1.051,0.107,nan,nan,4.511,0.323,46.6,1.923,129.016,3.562,65.031,1.939
54184.47944,0.846,0.090,0.349,0.052,3.767,0.258,40.511,1.688,112.506,3.187,60.931,1.852
54185.37903999999,0.769,0.090,nan,nan,3.126,0.247,36.221,1.609,106.528,3.055,55.029,1.738
54186.248778571426,0.721,0.113,0.36,0.096,2.811,0.201,32.0,1.404,90.271,2.746,52.24,1.794
54187.28668,0.74,0.085,0.215,0.068,2.719,0.196,28.947,1.302,86.578,2.552,51.538,1.638
54188.28894,0.678,0.081,0.201,0.045,2.133,0.162,25.126,1.171,74.795,2.263,48.761,1.572
54189.42918,0.432,0.084,0.291,0.077,1.962,0.159,20.912,1.060,66.676,2.160,43.712,1.566
54190.4987,nan,nan,nan,nan,1.848,0.161,nan,nan,nan,nan,nan,nan
54191.24525555556,0.587,0.106,0.101,0.101,1.721,0.146,17.373,0.938,54.522,1.784,41.334,1.655
54192.445869999996,0.402,0.062,0.188,0.042,1.362,0.118,14.873,0.840,48.166,1.623,37.376,1.299
54193.02344,0.377,0.065,nan,nan,1.289,0.141,13.362,0.895,45.171,1.586,36.968,1.325
54195.81935,0.245,0.060,0.094,0.045,1.082,0.103,9.644,0.617,34.889,1.382,31.492,1.233
54195.83381333333,0.245,0.060,0.094,0.045,1.082,0.103,9.644,0.617,34.889,1.382,31.492,1.233
54195.846575,0.245,0.060,0.094,0.045,1.082,0.103,9.644,0.617,34.889,1.382,31.492,1.233
54196.03596000001,0.232,0.066,0.121,0.048,nan,nan,nan,nan,34.572,1.399,33.155,1.301
54196.05241111111,0.232,0.066,0.121,0.048,nan,nan,nan,nan,34.572,1.399,33.155,1.301
54196.0728,0.232,0.066,0.121,0.048,nan,nan,nan,nan,34.572,1.399,33.155,1.301
54196.269100000005,nan,nan,nan,nan,1.058,0.104,9.6,0.623,nan,nan,nan,nan
54196.507075,0.183,0.057,0.121,0.048,nan,nan,nan,nan,34.047,1.370,30.404,1.214
54200.115314285715,0.177,0.086,0.103,0.089,0.734,0.089,6.698,0.475,28.097,1.426,26.642,1.325
54202.13359,0.166,0.065,0.131,0.060,nan,nan,nan,nan,20.382,1.144,20.621,1.069
54202.43125,nan,nan,nan,nan,0.636,0.078,6.144,0.430,nan,nan,nan,nan
54202.80195,0.259,0.065,0.099,0.048,nan,nan,nan,nan,21.006,1.114,21.863,1.050
54204.396400000005,0.186,0.070,0.156,0.104,0.513,0.073,5.279,0.390,18.84,1.135,18.253,1.042
54204.424216666666,0.186,0.070,0.156,0.104,0.513,0.073,5.279,0.390,18.84,1.135,18.253,1.042
54204.45404545455,0.177,0.069,0.145,0.105,0.513,0.073,5.279,0.390,18.644,1.130,18.846,1.054
54204.48382222222,0.177,0.069,0.145,0.105,0.513,0.073,5.279,0.390,18.644,1.130,18.846,1.054
54204.51144285715,0.177,0.069,0.145,0.105,0.513,0.073,5.279,0.390,18.644,1.130,18.846,1.054
54206.53145,0.106,0.049,0.137,0.047,0.547,0.071,4.879,0.358,16.68,0.969,15.321,0.855
54208.77635,0.129,0.054,0.03,0.042,0.523,0.075,4.502,0.354,15.177,0.946,13.38,0.815
54211.77445714286,0.135,0.048,0.051,0.036,0.432,0.062,3.736,0.290,12.404,0.758,12.887,0.728
54211.80275555555,0.135,0.048,0.051,0.036,0.432,0.062,3.736,0.290,12.404,0.758,12.887,0.728
54211.83124285715,0.135,0.048,0.051,0.036,0.432,0.062,3.736,0.290,12.404,0.758,12.887,0.728
54213.63963333334,-0.0,0.048,0.049,0.046,0.423,0.061,3.625,0.284,11.924,0.843,12.05,0.798
54213.67976111112,0.11,0.057,0.049,0.046,0.423,0.061,3.625,0.284,12.315,0.862,12.05,0.798
54213.70709090908,0.11,0.057,0.036,0.044,0.423,0.061,3.625,0.284,12.315,0.862,11.342,0.766
54213.73712222223,0.11,0.057,0.036,0.044,0.423,0.061,3.625,0.284,12.315,0.862,11.342,0.766
54213.766395454535,0.083,0.070,-0.045,0.052,0.423,0.061,3.625,0.284,12.325,1.050,11.306,0.942
