Time (MJD),B,Berr,U,Uerr,UVM2,UVM2err,UVW1,UVW1err,UVW2,UVW2err,V,Verr
53556.77875,56.762,2.89,79.616,3.427,6.15,0.474,18.29,1.019,8.751,0.639,19.412,1.232
53559.52453333332,55.146,2.837,49.931,2.398,1.353,0.201,6.276,0.549,2.275,0.347,21.395,1.327
53560.129316666666,54.573,2.844,41.151,2.139,0.943,0.191,4.673,0.484,1.795,0.326,21.162,1.392
53561.46108333333,51.475,2.773,29.505,1.768,0.694,0.18,3.11,0.404,1.031,0.279,19.268,1.312
53565.01043333334,37.419,2.261,15.1,1.25,0.31,0.152,1.674,0.311,0.755,0.255,18.527,1.23
53568.02495,28.199,2.017,9.556,0.985,0.142,0.149,1.245,0.3,0.55,0.248,17.362,1.214
53573.04988333335,25.167,1.914,7.059,0.849,0.371,0.162,0.73,0.272,0.386,0.237,16.475,1.168
