Time (MJD),UVW2,UVW2err,UVM2,UVM2err,UVW1,UVW1err,U,Uerr,B,Berr,V,Verr,R,Rerr,I,Ierr,J,Jerr,H,Herr,K,Kerr
54161.8408,,,,,,,,,15.085,0.037,,,,,,,,,,,,
54165.0591,18.788,0.189,,,,,,,,,,,,,,,,,,,,
54170.6312,,,,,,,,,,,15.042,0.052,,,,,,,,,,
54171.5313,,,,,17.243,0.088,,,,,,,,,,,,,,,,
54172.3682,,,,,,,15.38,0.057,,,,,,,,,,,,,,
54202.4308,,,,,,,,,,,14.83,0.01,,,,,,,,,,
54204.4517,,,,,,,,,14.948,0.023,,,,,,,,,,,,
54219.8194,,,,,,,,,15.106,0.037,,,,,,,,,,,,
54237.9345,18.815,0.195,,,,,,,,,,,,,,,,,,,,
54244.4183,,,,,,,,,,,14.995,0.052,,,,,,,,,,
