Epoch,Wavelength,Flux
0,900.5,1.2491e-17
0,901.4,1.6904e-17
0,902.3,1.7958e-17
0,903.2,1.8397e-17
0,904.1,1.882e-17
0,905.0,1.9338e-17
0,905.9,1.9865e-17
0,906.8,2.0368e-17
0,907.7,2.0886999999999997e-17
0,908.6,2.1414e-17
0,909.5,2.1948e-17
0,910.4,2.2507e-17
0,911.3,2.3106e-17
0,912.3,2.392e-17
0,913.2,2.617e-17
0,914.1,4.7544e-17
0,915.0,3.6682e-16
0,915.9,2.3728000000000002e-15
0,916.8,6.9069e-15
0,917.8,1.1621e-14
0,918.7,1.5499e-14
0,919.6,1.9562e-14
0,920.5,2.2419e-14
0,921.4,2.6458e-14
0,922.4,2.9267e-14
0,923.3,3.1558e-14
0,924.2,4.6395e-14
0,925.1,4.7081e-14
0,926.1,3.649e-14
0,927.0,5.0968e-14
0,927.9,7.5694e-14
0,928.9,7.844700000000001e-14
0,929.8,5.692999999999999e-14
0,930.7,4.0297e-14
0,931.7,6.0785e-14
0,932.6,9.4737e-14
0,933.5,1.1613e-13
0,934.5,1.2259e-13
0,935.4,1.1413e-13
0,936.3,8.7634e-14
0,937.3,5.3977e-14
0,938.2,5.3698e-14
0,939.2,9.2901e-14
0,940.1,1.2969e-13
0,941.0,1.5037e-13
0,942.0,1.6298e-13
0,942.9,1.6992e-13
0,943.9,1.7215e-13
0,944.8,1.6322e-13
0,945.8,1.5683e-13
0,946.7,1.6018e-13
0,947.7,1.4502e-13
0,948.6,1.0128e-13
0,949.6,6.3395e-14
0,950.5,8.8671e-14
0,951.5,1.4901e-13
0,952.4,1.8867999999999998e-13
0,953.4,2.0990999999999999e-13
0,954.3,2.3313000000000004e-13
0,955.3,2.5699e-13
0,956.2,2.7806e-13
0,957.2,2.9403e-13
0,958.2,2.9906e-13
0,959.1,3.0097e-13
0,960.1,2.9985e-13
0,961.0,3.0608e-13
0,962.0,3.1374e-13
0,963.0,3.1151e-13
0,963.9,2.9578000000000003e-13
0,964.9,2.9506e-13
0,965.9,3.222e-13
0,966.8,3.4111999999999996e-13
